Predicted count: ,Corrected count: ,CI ,line,genotype,allele,block
13.00479799,13.00584045,0.429658536,L1,B,M,1
27.39027025,27.34301138,0.432846845,L1,B,M,1
19.170504,19.1508442,0.431023537,L1,B,M,1
16.92839317,16.91626159,0.430526898,L1,B,M,1
12.95588261,12.95708931,0.429647716,L1,B,M,1
14.55733922,14.5531688,0.430002029,L1,B,M,1
13.10575419,13.10645767,0.429680868,L1,B,M,1
29.65168327,29.59683138,0.43334918,L2,B,M,1
12.34995143,12.35319263,0.429513698,L2,B,M,1
8.036491404,8.054215675,0.428560309,L2,B,M,1
16.92457967,16.91246089,0.430526054,L2,B,M,1
16.30416127,16.29412563,0.430388682,L2,B,M,1
10.77261588,10.78115321,0.429164933,L2,B,M,1
19.36002705,19.3397309,0.431065531,L2,B,M,1
20.31484295,20.29134086,0.43127713,L2,B,M,1
30.06653036,30.01028556,0.433441365,L2,B,M,1
16.48508238,16.47443927,0.430428739,L2,B,M,1
19.88790865,19.86584005,0.431182509,L2,B,M,1
5.78682936,5.8121072,0.428063527,L2,B,M,1
22.75634003,22.72464026,0.431818448,L2,B,M,1
27.26830585,27.22145649,0.432819761,L2,B,M,1
9.232746395,9.246454066,0.428824599,L2,B,M,1
12.83251765,12.83413856,0.429620429,L3,B,M,1
19.85219054,19.83024187,0.431174594,L3,B,M,1
13.4954584,13.49485339,0.429767077,L3,B,M,1
11.64705241,11.65265369,0.429358261,L3,B,M,1
2.359729352,2.39651418,0.427307338,L3,B,M,1
13.88447745,13.88256625,0.429853144,L3,B,M,1
4.475569076,4.505249664,0.427774112,L3,B,M,1
18.92130015,18.90247709,0.430968322,L3,B,M,1
12.6484129,12.65065198,0.429579708,L3,B,M,1
19.65067231,19.62940028,0.431129936,L3,B,M,1
16.576023,16.56507455,0.430448874,L3,B,M,1
11.81558135,11.82061678,0.429395526,L3,B,M,1
19.96598801,19.94365725,0.431199813,S1,B,F,1
29.99203345,29.93603879,0.43342481,S1,B,F,1
15.31373097,15.30702084,0.430169431,S1,B,F,1
27.70756357,27.65923934,0.432917308,S1,B,F,1
18.75858221,18.7403055,0.430932271,S1,B,F,1
17.65015379,17.63559879,0.430686738,S1,B,F,1
34.91067544,34.83816571,0.434518553,S1,B,F,1
15.41417187,15.40712451,0.430191663,S2,B,F,1
23.19857849,23.16539384,0.431916537,S2,B,F,1
21.6669509,21.63890891,0.431576869,S2,B,F,1
26.22051856,26.17718731,0.432587123,S2,B,F,1
23.05517932,23.02247616,0.43188473,S2,B,F,1
11.67243447,11.67795053,0.429363874,S2,B,F,1
25.27441627,25.23426169,0.432377119,S2,B,F,1
16.99092922,16.97858766,0.430540746,S2,B,F,1
17.11657296,17.10380954,0.430568569,S2,B,F,1
31.11124943,31.05149683,0.43367356,S2,B,F,1
19.95188998,19.92960656,0.431196689,S2,B,F,1
