/Users/michaeljardine/.densitycount/models/pv20_1527600777_firsttestmodel_,Filename: ,Frame number: ,Predicted count: ,Corrected count: ,CI 
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-001.png,1,52.31985656,60.52774,0.531602649
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-002.png,1,43.99279126,50.73852684,0.492442455
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-003.png,1,30.32527946,34.67113916,0.497859359
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-004.png,1,36.13513226,41.50114294,0.484534049
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-005.png,1,29.21649805,33.36766703,0.502174067
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-006.png,1,19.98514114,22.51537786,0.557410359
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-007.png,1,32.8752375,37.66884387,0.490050994
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-008.png,1,45.25251461,52.21944478,0.49644535
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-009.png,1,19.47910564,21.92048768,0.561321155
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-010.png,1,30.57759249,34.96775579,0.496954104
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-011.png,1,32.50755837,37.23660403,0.490991091
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-012.png,1,28.20325089,32.17650399,0.506587629
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-013.png,1,32.49675836,37.22390765,0.491019663
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-014.png,1,30.3029379,34.64487465,0.497940897
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-015.png,1,21.83110128,24.6854698,0.543851488
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-016.png,1,28.78210808,32.8570026,0.504011875
