/Users/michaeljardine/.densitycount/models/pv20_1556879354_TM6Bfirstround_,Filename: ,Frame number: ,Predicted count: ,Corrected count: ,CI 
Fri May  3 11:48:22 2019,/Users/michaeljardine/Desktop/Agar photos/TM6B test/M/M-001.png,1,30.37543126,30.56554801,0.913874119
Fri May  3 11:48:22 2019,/Users/michaeljardine/Desktop/Agar photos/TM6B test/M/M-002.png,1,5.099276513,4.405523879,0.979634231
Fri May  3 11:48:22 2019,/Users/michaeljardine/Desktop/Agar photos/TM6B test/M/M-004.png,1,48.15907139,48.97105546,0.869340247
Fri May  3 11:48:22 2019,/Users/michaeljardine/Desktop/Agar photos/TM6B test/M/M-005.png,1,7.319998079,6.703900762,0.973753304
Fri May  3 11:48:22 2019,/Users/michaeljardine/Desktop/Agar photos/TM6B test/M/M-007.png,1,12.02664588,11.57513301,0.961351662
Fri May  3 11:48:22 2019,/Users/michaeljardine/Desktop/Agar photos/TM6B test/M/M-008.png,1,50.23091043,51.11534362,0.864257352
Fri May  3 11:48:22 2019,/Users/michaeljardine/Desktop/Agar photos/TM6B test/M/M-009.png,1,17.51125111,17.25152669,0.947011051
Fri May  3 11:48:22 2019,/Users/michaeljardine/Desktop/Agar photos/TM6B test/M/M-010.png,1,21.17975624,21.04831396,0.937488193
Fri May  3 11:48:22 2019,/Users/michaeljardine/Desktop/Agar photos/TM6B test/M/M-011.png,1,24.23169177,24.20697112,0.929609557
Fri May  3 11:48:22 2019,/Users/michaeljardine/Desktop/Agar photos/TM6B test/M/M-012.png,1,26.28180652,26.32877532,0.924339977
Fri May  3 11:48:22 2019,/Users/michaeljardine/Desktop/Agar photos/TM6B test/M/M-013.png,1,24.76584014,24.75979786,0.928234805
Fri May  3 11:48:22 2019,/Users/michaeljardine/Desktop/Agar photos/TM6B test/M/M-014.png,1,28.03077021,28.13889766,0.919859254
Fri May  3 11:48:22 2019,/Users/michaeljardine/Desktop/Agar photos/TM6B test/M/M-015.png,1,36.45618781,36.85893953,0.89847128
Fri May  3 11:48:22 2019,/Users/michaeljardine/Desktop/Agar photos/TM6B test/M/M-016.png,1,24.82823904,24.82437876,0.928074289
Fri May  3 11:48:22 2019,/Users/michaeljardine/Desktop/Agar photos/TM6B test/M/M-017.png,1,2.46165678,1.675670523,0.986643133
Fri May  3 11:48:22 2019,/Users/michaeljardine/Desktop/Agar photos/TM6B test/M/M-018.png,1,37.36295814,37.79741826,0.896189531
