Frame number: ,Predicted count: ,Corrected count: ,CI ,photo number,line,genotype,allele,age
1,13.00479799,13.00584045,0.429658536,5,5,B,M,five
1,27.39027025,27.34301138,0.432846845,6,5,B,M,five
1,19.170504,19.1508442,0.431023537,7,5,B,M,five
1,16.92839317,16.91626159,0.430526898,8,5,B,M,five
1,12.95588261,12.95708931,0.429647716,9,5,B,M,five
1,14.55733922,14.5531688,0.430002029,10,5,B,M,five
1,13.10575419,13.10645767,0.429680868,11,5,B,M,five
1,29.65168327,29.59683138,0.43334918,12,8,B,M,five
1,12.34995143,12.35319263,0.429513698,13,8,B,M,five
1,8.036491404,8.054215675,0.428560309,14,8,B,M,five
1,16.92457967,16.91246089,0.430526054,15,8,B,M,five
1,16.30416127,16.29412563,0.430388682,16,8,B,M,five
1,10.77261588,10.78115321,0.429164933,17,8,B,M,five
1,19.36002705,19.3397309,0.431065531,18,8,B,M,five
1,20.31484295,20.29134086,0.43127713,19,8,B,M,five
1,30.06653036,30.01028556,0.433441365,20,8,B,M,five
1,16.48508238,16.47443927,0.430428739,21,8,B,M,five
1,19.88790865,19.86584005,0.431182509,22,8,B,M,five
1,5.78682936,5.8121072,0.428063527,23,8,B,M,five
1,22.75634003,22.72464026,0.431818448,24,8,B,M,five
1,27.26830585,27.22145649,0.432819761,25,8,B,M,five
1,9.232746395,9.246454066,0.428824599,26,8,B,M,five
1,12.83251765,12.83413856,0.429620429,27,16,B,M,five
1,19.85219054,19.83024187,0.431174594,28,16,B,M,five
1,13.4954584,13.49485339,0.429767077,29,16,B,M,five
1,11.64705241,11.65265369,0.429358261,30,16,B,M,five
1,2.359729352,2.39651418,0.427307338,31,16,B,M,five
1,13.88447745,13.88256625,0.429853144,32,16,B,M,five
1,4.475569076,4.505249664,0.427774112,33,16,B,M,five
1,18.92130015,18.90247709,0.430968322,34,16,B,M,five
1,12.6484129,12.65065198,0.429579708,35,16,B,M,five
1,19.65067231,19.62940028,0.431129936,36,16,B,M,five
1,16.576023,16.56507455,0.430448874,37,16,B,M,five
1,11.81558135,11.82061678,0.429395526,38,16,B,M,five
1,19.96598801,19.94365725,0.431199813,39,19,B,F,five
1,29.99203345,29.93603879,0.43342481,40,19,B,F,five
1,15.31373097,15.30702084,0.430169431,41,19,B,F,five
1,27.70756357,27.65923934,0.432917308,42,19,B,F,five
1,18.75858221,18.7403055,0.430932271,43,19,B,F,five
1,17.65015379,17.63559879,0.430686738,44,19,B,F,five
1,34.91067544,34.83816571,0.434518553,45,19,B,F,five
1,15.41417187,15.40712451,0.430191663,46,24,B,F,five
1,23.19857849,23.16539384,0.431916537,47,24,B,F,five
1,21.6669509,21.63890891,0.431576869,48,24,B,F,five
1,26.22051856,26.17718731,0.432587123,49,24,B,F,five
1,23.05517932,23.02247616,0.43188473,50,24,B,F,five
1,11.67243447,11.67795053,0.429363874,51,24,B,F,five
1,25.27441627,25.23426169,0.432377119,52,24,B,F,five
1,16.99092922,16.97858766,0.430540746,53,24,B,F,five
1,17.11657296,17.10380954,0.430568569,54,24,B,F,five
1,31.11124943,31.05149683,0.43367356,55,24,B,F,five
1,19.95188998,19.92960656,0.431196689,56,24,B,F,five
1,27.69538323,27.6470999,0.432914603,57,24,B,F,five
1,16.87174324,16.85980186,0.430514354,58,95,B,F,five
1,26.73958736,26.69451325,0.432702363,59,95,B,F,five
1,12.27022737,12.27373626,0.429496067,60,5,D,M,five
1,27.71237247,27.66403209,0.432918376,61,5,D,M,five
1,9.494090859,9.506921027,0.42888235,62,5,D,M,five
1,32.59328304,32.52855429,0.434003063,63,5,D,M,five
1,21.59283166,21.56503854,0.431560435,64,5,D,M,five
1,27.41643709,27.36909037,0.432852656,65,8,D,M,five
1,33.42874223,33.36120831,0.434188869,66,8,D,M,five
1,29.29274872,29.239102,0.433269429,67,8,D,M,five
1,11.68538371,11.69085629,0.429366737,68,8,D,M,five
1,28.61969921,28.56831235,0.433119904,69,8,D,M,five
1,19.38851758,19.36812577,0.431071844,70,8,D,M,five
1,19.67339758,19.65204924,0.431134972,71,8,D,M,five
1,18.20001903,18.18361777,0.430808532,72,8,D,M,five
1,19.65221115,19.63093395,0.431130277,73,8,D,M,five
1,33.05694975,32.99066417,0.434106177,74,8,D,M,five
1,16.74372356,16.73221203,0.430486006,75,8,D,M,five
1,22.30566737,22.2754808,0.4317185,76,8,D,M,five
1,14.80536361,14.8003604,0.430056917,77,16,D,M,five
1,10.53389286,10.54323174,0.429112162,78,16,D,M,five
1,15.60930198,15.60159944,0.430234855,79,16,D,M,five
1,15.40468092,15.39766542,0.430189562,80,16,D,M,five
1,14.83310748,14.82801112,0.430063057,81,16,D,M,five
1,17.83916605,17.8239764,0.430728602,82,16,D,M,five
1,41.72222145,41.62684096,0.436035567,83,19,D,F,five
1,2.193769134,2.231111198,0.427270737,84,19,D,F,five
1,6.632858138,6.655295312,0.428250315,85,19,D,F,five
1,22.42703452,22.39644044,0.431745415,86,19,D,F,five
1,54.10017348,53.96323221,0.4387992,87,19,D,F,five
1,17.76574273,17.75079962,0.430712339,88,19,D,F,five
1,19.58333904,19.56229308,0.431115015,89,24,D,F,five
1,9.343559394,9.356894994,0.428849085,90,24,D,F,five
1,10.47968048,10.48920139,0.429100179,91,24,D,F,five
1,40.21920228,40.1288684,0.435700593,92,24,D,F,five
1,12.68073144,12.682862,0.429586856,93,24,D,F,five
1,15.0360424,15.03026466,0.43010797,94,24,D,F,five
1,32.4358097,32.37160969,0.433968046,95,24,D,F,five
1,29.12766335,29.07457093,0.433232751,96,24,D,F,five
1,22.98049604,22.94804364,0.431868164,97,24,D,F,five
1,20.48942024,20.46533198,0.431315825,98,24,D,F,five
1,22.71625122,22.68468605,0.431809557,99,24,D,F,five
1,11.60038571,11.60614368,0.429347943,100,24,D,F,five
1,33.98505711,33.91565528,0.434312616,101,24,D,F,five
1,22.7490023,22.71732717,0.43181682,102,24,D,F,five
1,8.445663387,8.462013803,0.428650698,103,24,D,F,five
1,22.10662791,22.07710964,0.431674362,104,24,D,F,five
1,20.847379,20.82208885,0.431395171,105,24,D,F,five
1,10.4428332,10.45247783,0.429092034,106,95,D,F,five
1,33.10182351,33.03538727,0.434116158,107,95,D,F,five
1,26.4297717,26.38573784,0.432633578,108,95,D,F,five
1,18.56611758,18.54848709,0.430889632,109,95,D,F,five
1,21.84856185,21.81991007,0.431617137,110,95,D,F,five
1,18.17394502,18.15763131,0.430802756,111,95,D,F,five
1,23.72397043,23.6890217,0.432033085,112,5,B,M,four
1,15.75836614,15.75016309,0.430267852,113,5,B,M,four
1,23.58854612,23.5540521,0.432003042,114,5,B,M,four
1,37.22627266,37.14598798,0.435033959,115,5,B,M,four
1,21.00295625,20.97714372,0.431429659,116,5,B,M,four
1,17.35907189,17.34549424,0.430622272,117,5,B,M,four
1,27.66137868,27.61320953,0.432907051,118,5,B,M,four
1,38.711341,38.62606999,0.435364672,119,5,B,M,four
1,34.73860788,34.66667589,0.434480266,120,5,B,M,four
1,13.04602327,13.0469273,0.429667655,121,5,B,M,four
1,3.071889131,3.106282779,0.427464416,122,5,B,M,four
1,13.18761815,13.18804676,0.429698977,123,5,B,M,four
1,13.73748751,13.73606986,0.429820622,124,5,B,M,four
1,11.27130256,11.27816548,0.429275181,125,8,B,M,four
1,18.65261968,18.63469875,0.430908796,126,8,B,M,four
1,28.47480679,28.42390643,0.433087719,127,8,B,M,four
1,45.64643095,45.53787435,0.436910768,128,8,B,M,four
1,26.72310632,26.67808755,0.432698704,129,8,B,M,four
1,10.04467011,10.05565163,0.429004028,130,8,B,M,four
1,21.88691269,21.85813215,0.431625641,131,8,B,M,four
1,15.95787712,15.94900418,0.430312018,132,8,B,M,four
1,16.53011693,16.51932261,0.43043871,133,8,B,M,four
1,18.51224453,18.49479493,0.430877697,134,8,B,M,four
1,20.92977096,20.90420416,0.431413436,135,8,B,M,four
1,22.93715152,22.90484465,0.431858551,136,16,B,M,four
1,8.645617261,8.661296303,0.428694873,137,16,B,M,four
