Predicted count: ,Corrected count: ,CI ,line,gentype,allele,NA
25.63160916,25.25048192,0.584149604,5,B,M,NA
6.847078939,6.68671026,0.574467979,5,B,M,NA
18.89946391,18.59745383,0.580672213,5,B,M,NA
19.01499339,18.7116256,0.580731817,5,B,M,NA
21.22635595,20.8969999,0.581873186,5,B,M,NA
23.00134407,22.6511281,0.582789981,5,B,M,NA
54.23208463,53.51484041,0.599013718,5,B,M,NA
18.05778361,17.76566508,0.580238048,5,B,M,NA
28.55719313,28.141684,0.585663373,5,B,M,NA
13.08171794,12.84807887,0.577673956,5,B,M,NA
37.42707274,36.90732349,0.590262339,5,B,M,NA
16.29202595,16.02065887,0.579327646,5,B,M,NA
22.85731939,22.50879601,0.58271557,5,B,M,NA
29.42541814,28.99970551,0.586112914,5,B,M,NA
27.30383046,26.90305104,0.585014661,5,B,M,NA
25.31633027,24.93890824,0.583986565,5,B,M,NA
34.50711342,34.02167996,0.588746801,5,B,M,NA
36.27131736,35.76515071,0.589662289,5,B,M,NA
22.19303399,21.85231739,0.58237241,5,B,M,NA
34.652532,34.16538955,0.588822241,5,B,M,NA
1.531572505,1.433672438,0.571740555,5,B,M,NA
26.61257254,26.21991688,0.584657004,5,B,M,NA
11.73707274,11.51923613,0.576981884,5,B,M,NA
15.50235741,15.24027063,0.578920692,5,B,M,NA
32.2814944,31.82221674,0.58759267,5,B,M,NA
27.06268643,26.66474097,0.584889883,5,B,M,NA
37.75320614,37.22962412,0.590431706,8,B,M,NA
22.57911896,22.23386503,0.582571846,8,B,M,NA
28.41941327,28.00552336,0.585592047,8,B,M,NA
26.43626386,26.04568021,0.584565796,8,B,M,NA
40.37788683,39.82345917,0.591795432,8,B,M,NA
29.29198432,28.86783982,0.586043817,8,B,M,NA
29.97328579,29.54113454,0.586396654,8,B,M,NA
32.78268228,32.31751459,0.587852491,8,B,M,NA
38.40710379,37.87583707,0.590771343,8,B,M,NA
45.92423,45.30462091,0.59468118,8,B,M,NA
35.12734643,34.63462389,0.589068591,8,B,M,NA
50.96565363,50.28679699,0.597308862,8,B,M,NA
40.84159654,40.2817193,0.592036493,8,B,M,NA
39.36506964,38.82254476,0.59126905,8,B,M,NA
17.90288684,17.61258869,0.580158162,8,B,M,NA
46.95329293,46.32159014,0.595217189,8,B,M,NA
37.73133997,37.20801492,0.59042035,8,B,M,NA
30.77244589,30.33090279,0.586810636,8,B,M,NA
54.48618021,53.76594982,0.599146415,8,B,M,NA
37.42425736,36.90454119,0.590260877,8,B,M,NA
37.43045942,36.91067036,0.590264098,8,B,M,NA
51.31210101,50.62917286,0.597489598,8,B,M,NA
51.85906302,51.1697069,0.59777498,8,B,M,NA
15.5335028,15.27105,0.578936741,16,B,M,NA
41.64140041,41.07212376,0.592452361,16,B,M,NA
37.13437802,36.61806856,0.590110354,16,B,M,NA
40.79555721,40.23622104,0.592012557,16,B,M,NA
34.91493632,34.42471006,0.588958381,16,B,M,NA
29.48228368,29.05590276,0.586142362,16,B,M,NA
32.82877029,32.36306096,0.587876386,16,B,M,NA
20.02984014,19.71454572,0.581255505,16,B,M,NA
22.18313928,21.84253897,0.582367299,16,B,M,NA
33.07677765,32.60815371,0.588004975,16,B,M,NA
28.86536162,28.44623085,0.585822917,16,B,M,NA
39.86143362,39.3130754,0.591526998,16,B,M,NA
39.9970963,39.44714376,0.591597506,16,B,M,NA
27.15782877,26.75876518,0.584939112,16,B,M,NA
25.0887446,24.71399719,0.583868885,16,B,M,NA
45.16732028,44.5566065,0.594287045,16,B,M,NA
25.48782102,25.1083836,0.584075245,16,B,M,NA
24.03175696,23.66943142,0.583322465,16,B,M,NA
19.49602045,19.18699955,0.580980016,16,B,M,NA
27.55095615,27.14727246,0.585142545,16,B,M,NA
31.28818256,30.84057844,0.58707786,16,B,M,NA
11.61712943,11.40070241,0.576920168,16,B,M,NA
33.57243597,33.09798697,0.588262,16,B,M,NA
19.07771992,18.77361495,0.58076418,16,B,M,NA
31.35604913,30.90764744,0.587113028,19,B,F,NA
15.55197087,15.28930102,0.578946257,19,B,F,NA
21.05620863,20.72885217,0.581785334,19,B,F,NA
20.71322316,20.38989752,0.581608257,19,B,F,NA
42.2422138,41.6658763,0.592764835,19,B,F,NA
43.93980744,43.34351958,0.593648071,19,B,F,NA
11.13931567,10.928504,0.576674337,19,B,F,NA
27.88390171,27.4763052,0.585314857,19,B,F,NA
7.148180023,6.984272759,0.57462264,19,B,F,NA
46.77367645,46.14408454,0.595123619,19,B,F,NA
35.63371792,35.13504444,0.589331359,19,B,F,NA
10.0589556,9.860840474,0.576118662,19,B,F,NA
18.56897118,18.2708451,0.580501719,19,B,F,NA
32.93441217,32.46746132,0.587931159,19,B,F,NA
38.22582979,37.69669342,0.590677181,19,B,F,NA
12.76423857,12.53433057,0.577510523,19,B,F,NA
19.57392555,19.26398911,0.581020218,19,B,F,NA
32.78798914,32.32275908,0.587855243,19,B,F,NA
35.36916659,34.87360216,0.589194072,19,B,F,NA
33.37304567,32.90093993,0.5881586,19,B,F,NA
43.99764691,43.4006793,0.593678173,19,B,F,NA
50.01381332,49.34614284,0.59681241,19,B,F,NA
46.318014,45.6937771,0.594886269,19,B,F,NA
38.75112066,38.215811,0.590950057,19,B,F,NA
46.41244233,45.7870957,0.594935453,19,B,F,NA
10.99338729,10.78429058,0.576599267,19,B,F,NA
21.34942372,21.01862136,0.581936732,19,B,F,NA
29.59358898,29.16589997,0.586200004,24,B,F,NA
14.63691477,14.38499879,0.578474824,24,B,F,NA
24.04926984,23.68673848,0.583331517,24,B,F,NA
15.22423128,14.96541308,0.578777389,24,B,F,NA
13.47294536,13.23470852,0.577875381,24,B,F,NA
14.30448847,14.05647921,0.578303599,24,B,F,NA
26.99410095,26.59696151,0.584854396,24,B,F,NA
40.56009847,40.00352943,0.591890151,24,B,F,NA
31.04352806,30.59879916,0.586951088,24,B,F,NA
34.55058586,34.0646415,0.588769353,24,B,F,NA
36.65090398,36.14027637,0.589859338,24,B,F,NA
17.83311512,17.54363693,0.580122179,24,B,F,NA
33.64423315,33.16894038,0.588299235,24,B,F,NA
17.69458189,17.40673176,0.580050738,24,B,F,NA
33.52929582,33.05535381,0.588239628,24,B,F,NA
29.27900227,28.85501034,0.586037094,24,B,F,NA
36.16438342,35.65947348,0.589606782,24,B,F,NA
28.80121445,28.38283755,0.585789706,24,B,F,NA
30.18028009,29.7456962,0.58650387,24,B,F,NA
10.94982441,10.74123967,0.576576857,24,B,F,NA
50.81676112,50.13965428,0.597231194,24,B,F,NA
9.770888517,9.576158799,0.575970535,24,B,F,NA
18.58844523,18.29009029,0.580511765,24,B,F,NA
21.9761653,21.63799737,0.582260397,24,B,F,NA
21.27695058,20.94699993,0.58189931,24,B,F,NA
51.59760074,50.91131736,0.597638554,95,B,F,NA
40.79467235,40.23534657,0.592012097,95,B,F,NA
46.48825812,45.86202048,0.594974943,95,B,F,NA
32.54239309,32.08004931,0.587727917,95,B,F,NA
36.44128724,35.93312308,0.58975052,95,B,F,NA
51.48490945,50.79995043,0.597579757,95,B,F,NA
41.13406109,40.57074677,0.59218855,95,B,F,NA
62.47459821,61.66048676,0.60332379,95,B,F,NA
44.71029554,44.10495278,0.594049113,95,B,F,NA
21.70398943,21.36902016,0.58211983,5,D,M,NA
8.436016047,8.256973946,0.575284335,5,D,M,NA
4.161900931,4.033088858,0.573089509,5,D,M,NA
9.760923759,9.566311147,0.575965411,5,D,M,NA
14.82218255,14.56808928,0.57857026,5,D,M,NA
3.35398644,3.234669096,0.572675029,5,D,M,NA
3.10125042,2.984903267,0.572545396,5,D,M,NA
3.652935159,3.530104526,0.572828382,5,D,M,NA
6.052546067,5.901514855,0.57405995,5,D,M,NA
9.234190902,9.045768532,0.575694601,5,D,M,NA
30.33787633,29.90144035,0.586585505,8,D,M,NA
25.86038454,25.4765687,0.584267922,8,D,M,NA
21.74452405,21.40907841,0.582140763,8,D,M,NA
5.523824654,5.379007053,0.573788495,8,D,M,NA
22.66593916,22.31966492,0.582616697,8,D,M,NA
50.46676576,49.79377212,0.597048637,8,D,M,NA
22.44622846,22.10253629,0.582503197,8,D,M,NA
36.82316315,36.31051113,0.589948769,8,D,M,NA
28.19382134,27.78258261,0.58547527,8,D,M,NA
28.24431308,27.83248096,0.585501406,8,D,M,NA
38.2291419,37.69996661,0.590678901,8,D,M,NA
14.27342407,14.02577989,0.578287599,8,D,M,NA
21.50677942,21.17412779,0.582017988,8,D,M,NA
25.62480655,25.24375926,0.584146086,8,D,M,NA
21.4523011,21.1202897,0.581989856,8,D,M,NA
30.08657811,29.65309542,0.586455335,8,D,M,NA
19.74662078,19.43465479,0.581109337,8,D,M,NA
24.72407881,24.353617,0.583680344,8,D,M,NA
31.89427992,31.43955285,0.587391965,8,D,M,NA
34.64807243,34.16098239,0.588819928,8,D,M,NA
