Photo number,Predicted count: ,Corrected count: ,CI ,line,genotype,allele
20,34.90334923,36.28179355,0.337912509,8,B,M
21,31.24833695,32.462455,0.343628517,8,B,M
22,34.50190874,35.86230463,0.33853758,8,B,M
24,17.96632509,18.58329509,0.364837246,8,B,M
25,9.788375167,10.03767143,0.378200636,8,B,M
26,27.41394433,28.45567132,0.349683259,8,B,M
27,26.86039423,27.87723408,0.350562094,8,B,M
28,19.55412672,20.24248294,0.362268188,8,B,M
29,29.77924151,30.92731027,0.345941431,8,B,M
30,31.04632029,32.25135584,0.343946053,8,B,M
31,22.73478442,23.56614033,0.357148333,8,B,M
32,43.67754502,45.45046979,0.324429007,8,B,M
33,39.1530052,40.72251047,0.331338403,8,B,M
34,29.07465791,30.19104919,0.347053767,8,B,M
35,40.99652656,42.64891499,0.328511656,8,B,M
36,15.90337763,16.42759925,0.368187824,8,B,M
37,25.27897048,26.22471085,0.353079234,8,B,M
38,22.92853293,23.76859961,0.356837625,16,B,M
39,51.04833555,53.15264484,0.31338737,16,B,M
40,38.75874933,40.31052919,0.331944941,16,B,M
41,55.18175262,57.47189686,0.307320681,16,B,M
42,20.71139863,21.45178482,0.360401214,16,B,M
43,40.65910429,42.2963225,0.329027872,16,B,M
44,29.34049152,30.46883445,0.346633861,16,B,M
45,22.69056456,23.51993238,0.357219266,16,B,M
46,31.29040621,32.50641566,0.343562412,16,B,M
47,56.07039805,58.40049504,0.306028861,16,B,M
48,19.37007594,20.05015739,0.362565538,16,B,M
49,28.46074172,29.54953184,0.34802456,16,B,M
50,36.33867444,37.78164977,0.335683254,16,B,M
51,48.15270976,50.12683416,0.317692076,16,B,M
52,36.91174125,38.38048118,0.334795698,16,B,M
53,33.64675593,34.96870487,0.339871388,16,B,M
54,38.6828768,40.2312455,0.332061746,16,B,M
55,38.67017585,40.21797352,0.332081302,16,B,M
56,58.8875654,61.34431985,0.301963808,16,B,M
57,19.18488574,19.8566412,0.362864847,5,B,M
58,26.3872725,27.38284119,0.351314166,5,B,M
59,28.61409437,29.7097791,0.347781923,5,B,M
60,24.15449591,25.04968085,0.354874751,5,B,M
61,26.09526235,27.07770251,0.351778768,5,B,M
62,30.79897689,31.99289209,0.344335059,5,B,M
63,45.24960009,47.09320313,0.322051115,5,B,M
64,28.28483263,29.36571402,0.348302999,5,B,M
65,24.71503571,25.63542204,0.353979117,5,B,M
66,46.74912892,48.66014951,0.319794269,5,B,M
67,20.69755098,21.43731459,0.360423526,5,B,M
68,35.95690367,37.38271491,0.336275328,5,B,M
69,24.3303509,25.23344213,0.354593644,5,B,M
70,27.80900417,28.86849272,0.34905677,5,B,M
71,29.184777,30.30611914,0.346879791,5,B,M
72,30.50925793,31.69014761,0.344791025,5,B,M
73,67.54846744,70.39460875,0.289772145,5,B,M
74,15.2536496,15.74865999,0.369246017,19,B,F
75,34.13934166,35.48343684,0.339102711,19,B,F
76,35.6753717,37.0885255,0.33671235,19,B,F
77,40.81171946,42.45579913,0.328794323,19,B,F
78,33.03195188,34.32625976,0.340832213,19,B,F
79,36.11502819,37.54794858,0.336030022,19,B,F
80,33.77415357,35.1018302,0.339672487,19,B,F
81,49.04485229,51.05908667,0.316361126,19,B,F
82,42.39209227,44.10722417,0.326382248,19,B,F
83,31.73844847,32.97460153,0.342858834,19,B,F
84,29.95773339,31.113827,0.345659955,19,B,F
86,23.3879063,24.24862602,0.356101485,19,B,F
87,14.14285462,14.58792461,0.371058326,19,B,F
88,41.63282447,43.31382032,0.327539636,19,B,F
89,20.16271899,20.87843701,0.361285791,19,B,F
90,37.69490368,39.19885394,0.333585079,19,B,F
91,29.08875861,30.20578384,0.347031487,24,B,F
92,29.75964365,30.90683131,0.345972343,24,B,F
93,58.68953285,61.13738393,0.302248033,24,B,F
94,35.44167324,36.84432016,0.337075379,24,B,F
95,54.92487228,57.20346739,0.307694944,24,B,F
96,20.52764724,21.25977212,0.360697339,24,B,F
97,63.3377104,65.99453962,0.295639864,24,B,F
98,56.10850578,58.44031606,0.305973565,24,B,F
99,60.37257261,62.89609174,0.29983998,24,B,F
100,16.74601155,17.30811728,0.366817526,24,B,F
101,21.18545862,21.94715814,0.359637789,24,B,F
102,12.46303825,12.83258511,0.373806549,24,B,F
103,22.13337934,22.93769659,0.358113651,24,B,F
104,38.6816946,40.23001014,0.332063566,24,B,F
105,47.38569996,49.32534024,0.318839614,24,B,F
106,44.34877908,46.15188197,0.323412225,24,B,F
107,45.8629854,47.73416573,0.321126595,24,B,F
108,37.22127484,38.70393114,0.334316895,24,B,F
109,31.23558689,32.44913171,0.343648553,24,B,F
110,66.95437682,69.77380832,0.290592912,24,B,F
111,36.84287853,38.30852245,0.334902275,24,B,F
112,45.70575121,47.56986242,0.321363407,95,B,F
113,30.771925,31.96462397,0.34437762,95,B,F
114,12.22386547,12.58265932,0.37419857,95,B,F
115,8.375088027,8.560844097,0.380531301,5,D,M
116,44.85810526,46.68410702,0.322642162,5,D,M
117,38.70305458,40.25233045,0.33203068,5,D,M
118,21.5273688,22.30444032,0.359087672,5,D,M
119,23.02477874,23.86917255,0.356683329,5,D,M
120,21.70490537,22.48995878,0.358802187,5,D,M
121,21.90965795,22.70391687,0.358473078,5,D,M
122,16.22570457,16.76441774,0.367663376,5,D,M
123,16.02255557,16.55213533,0.367993873,5,D,M
124,29.79340321,30.94210867,0.345919094,5,D,M
125,27.71709122,28.77244745,0.349202472,5,D,M
126,33.51452037,34.83052412,0.340077915,5,D,M
127,10.95220709,11.25382826,0.376285908,5,D,M
128,1.135205901,0.995462976,0.392561914,5,D,M
129,9.134934659,9.354852792,0.379277483,5,D,M
130,29.09363253,30.21087689,0.347023786,5,D,M
131,34.75129783,36.12290605,0.338149183,8,D,M
132,44.62664314,46.44223856,0.322991959,8,D,M
133,24.51396454,25.42531089,0.354300256,8,D,M
134,43.34230588,45.10015858,0.32493764,8,D,M
135,48.5344106,50.52569595,0.31712213,8,D,M
136,20.54042841,21.27312793,0.360676737,8,D,M
137,18.009074,18.62796596,0.364767966,8,D,M
138,36.53972636,37.99174082,0.335371705,8,D,M
139,17.96998261,18.58711705,0.364831319,8,D,M
140,26.29827908,27.2898467,0.351455724,8,D,M
141,52.37363906,54.53753288,0.311431988,8,D,M
142,53.19283797,55.39356228,0.310228099,8,D,M
143,41.62768259,43.30844727,0.327547483,8,D,M
144,46.00076907,47.87814403,0.320919178,8,D,M
145,33.67602343,34.99928822,0.339825688,8,D,M
146,32.09534673,33.34754563,0.34229897,8,D,M
147,37.03695014,38.51131936,0.334601967,8,D,M
148,45.58061012,47.43909509,0.321551972,8,D,M
149,30.44279665,31.62069829,0.34489567,8,D,M
150,15.27736498,15.7734416,0.369207368,8,D,M
151,10.83310915,11.12937578,0.376481656,8,D,M
152,29.07733159,30.19384307,0.347049542,8,D,M
153,19.58621501,20.27601389,0.362216359,8,D,M
154,21.8403605,22.63150387,0.358584447,16,D,M
155,19.90540585,20.60955529,0.361700992,16,D,M
156,25.42288336,26.37509393,0.352849779,16,D,M
157,36.45290912,37.90102035,0.335506215,16,D,M
158,29.05894279,30.17462753,0.347078599,16,D,M
159,42.37682047,44.09126576,0.326405501,16,D,M
160,19.95616493,20.66259645,0.361619069,16,D,M
161,20.59513896,21.33029822,0.360588559,16,D,M
162,11.62319717,11.95498549,0.375183897,16,D,M
163,19.61501789,20.30611173,0.362169839,16,D,M
164,29.10575226,30.22354151,0.347004637,16,D,M
165,4.303364303,4.306059107,0.387278992,16,D,M
166,17.65954555,18.262723,0.365334605,16,D,M
167,46.7492063,48.66023037,0.319794153,16,D,M
168,21.05115071,21.80681187,0.359853998,16,D,M
169,23.28077254,24.13667561,0.356273097,16,D,M
170,47.47752867,49.4212975,0.318702069,19,D,F
171,59.88571888,62.38734947,0.300534799,19,D,F
172,41.35561097,43.02414354,0.32796288,19,D,F
173,34.14330044,35.48757361,0.339096537,19,D,F
174,33.084225,34.38088303,0.340750459,19,D,F
175,64.98620334,67.71714741,0.293328846,19,D,F
176,47.81876976,49.7778805,0.318191321,19,D,F
177,45.5841848,47.44283048,0.321546584,19,D,F
178,23.09761327,23.94528166,0.356566587,19,D,F
179,29.90190867,31.05549244,0.345747975,19,D,F
180,40.56839127,42.20153111,0.329166742,19,D,F
181,24.33879394,25.24226476,0.35458015,19,D,F
182,47.40325219,49.34368161,0.31881332,19,D,F
183,37.30653274,38.79302216,0.334185088,19,D,F
184,40.73175258,42.372237,0.328916684,19,D,F
185,50.76603724,52.85765463,0.313805098,19,D,F
186,21.47137166,22.2459256,0.35917774,19,D,F
187,38.66602154,40.21363244,0.332087698,19,D,F
188,46.09547812,47.97711112,0.32077666,19,D,F
