Frame number: ,Predicted count: ,Corrected count: ,CI ,photo number,line,genotype,allele 
1,22.15246572,21.37792427,0.526443526,1,5,B,M
1,2.535905033,2.387612464,0.478811987,2,5,B,M
1,20.32079052,19.60472438,0.521932092,3,5,B,M
1,12.76455786,12.28972067,0.503453258,4,5,B,M
1,6.904557212,6.616797608,0.489280286,5,5,B,M
1,25.52868137,24.64635593,0.534790032,6,5,B,M
1,19.6825539,18.98686314,0.520362952,7,5,B,M
1,12.56086406,12.09252969,0.502958207,8,5,B,M
1,24.61603136,23.7628418,0.532529959,9,5,B,M
1,9.517715288,9.146531921,0.495582537,10,5,B,M
1,28.37744175,27.40417105,0.541862564,11,5,B,M
1,7.123049835,6.828314964,0.489806097,12,5,B,M
1,2.089537295,1.955494793,0.477747338,13,5,B,M
1,2.427665862,2.282828775,0.478553735,14,5,B,M
1,16.92257402,16.31499425,0.513594725,15,5,B,M
1,25.51581564,24.63390093,0.534758152,16,5,B,M
1,13.62900204,13.1265679,0.505556035,17,5,B,M
1,20.58469001,19.86019901,0.522581336,18,5,B,M
1,2.657527494,2.505352189,0.479102236,19,5,B,M
1,12.42175519,11.9578618,0.502620218,20,5,B,M
1,29.16067467,28.16239965,0.543811727,21,5,B,M
1,3.372020367,3.197035234,0.480808751,22,5,B,M
1,11.95719069,11.50812829,0.501492048,23,5,B,M
1,32.40963633,31.30763984,0.551917904,24,8,B,M
1,7.769754978,7.454374369,0.491363643,25,8,B,M
1,11.05572679,10.63544318,0.499305414,26,8,B,M
1,21.75856394,20.9965976,0.525472331,27,8,B,M
1,24.59375257,23.74127426,0.532474823,28,8,B,M
1,8.839126938,8.489607164,0.493943134,29,8,B,M
1,16.8691086,16.26323568,0.513463896,30,8,B,M
1,29.77294691,28.75512541,0.545336806,31,8,B,M
1,19.69106236,18.99509997,0.520383861,32,8,B,M
1,6.972085843,6.682170421,0.489442774,33,8,B,M
1,1.229075029,1.122502354,0.475697682,34,8,B,M
1,37.73790581,36.46580698,0.565281425,35,8,B,M
1,22.21787118,21.44124169,0.526604841,36,8,B,M
1,11.22825795,10.80246637,0.499723655,37,8,B,M
1,21.8186372,21.05475306,0.52562041,38,8,B,M
1,36.60105099,35.36524568,0.562423144,39,8,B,M
1,23.91887222,23.08793913,0.530805439,40,8,B,M
1,10.22152551,9.827873352,0.497284935,41,8,B,M
1,24.28118577,23.43868599,0.531701463,42,8,B,M
1,3.96986673,3.775795652,0.482238485,43,8,B,M
1,7.862370716,7.544033395,0.491586851,44,8,B,M
1,2.41704639,2.272548323,0.478528401,45,8,B,M
1,2.462462074,2.316514135,0.478636751,46,8,B,M
1,9.750381231,9.37177012,0.496145085,47,8,B,M
1,22.38151044,21.59965685,0.527008506,48,16,B,M
1,7.508938206,7.201884042,0.490735263,49,16,B,M
1,15.95225936,15.37565639,0.511222079,50,16,B,M
1,8.512745087,8.17364489,0.493155328,51,16,B,M
1,8.716989007,8.371368426,0.493648269,52,16,B,M
1,5.016740728,4.789248721,0.484746008,53,16,B,M
1,11.95178365,11.50289387,0.501478922,54,16,B,M
1,31.91877781,30.83245173,0.550691097,55,16,B,M
1,3.195009455,3.025675307,0.480385751,56,16,B,M
1,32.12447254,31.03157976,0.551205102,57,16,B,M
1,18.55969336,17.89984937,0.517605964,58,16,B,M
1,6.453764015,6.180395758,0.4881961,59,16,B,M
1,10.13019536,9.739458877,0.497063905,60,16,B,M
1,8.80385698,8.455463181,0.493857979,61,16,B,M
1,24.20928673,23.3690823,0.531523617,62,16,B,M
1,5.779443553,5.52760264,0.486575999,63,16,B,M
1,16.33959055,15.75062223,0.512168761,64,16,B,M
1,22.51001373,21.72405773,0.527325563,65,16,B,M
1,15.04053757,14.49304086,0.508996016,66,16,B,M
1,6.102346004,5.840196591,0.487351541,67,16,B,M
1,25.17358379,24.30259465,0.533910338,68,16,B,M
1,23.83401756,23.00579341,0.530595653,69,19,B,F
1,13.95871672,13.44575661,0.50635886,70,19,B,F
1,8.778886568,8.431289937,0.493797694,71,19,B,F
1,38.54076563,37.2430359,0.567302202,72,19,B,F
1,8.298906229,7.96663273,0.492639421,73,19,B,F
1,53.10273755,51.34012415,0.604252092,74,19,B,F
1,13.00687724,12.52430412,0.504042401,75,19,B,F
1,9.590519112,9.217011519,0.49575854,76,19,B,F
1,13.17397594,12.68606828,0.504448801,77,19,B,F
1,21.18420227,20.44057215,0.524057187,78,19,B,F
1,11.03074838,10.61126219,0.499244873,79,19,B,F
1,21.50519421,20.75131657,0.524847919,80,19,B,F
1,18.80520592,18.13752406,0.518208379,81,24,B,F
1,8.717907385,8.372257484,0.493650486,82,24,B,F
1,17.93540892,17.29549489,0.516075166,83,24,B,F
1,3.117819029,2.950949147,0.480201337,84,24,B,F
1,21.03321409,20.29440418,0.52368537,85,24,B,F
1,17.58812336,16.95929625,0.515224224,86,24,B,F
1,12.57587528,12.10706168,0.502994684,87,24,B,F
1,36.167136,34.94518321,0.561333179,88,24,B,F
1,24.9315843,24.06832087,0.53331107,89,24,B,F
1,16.10040781,15.51907528,0.511584103,90,24,B,F
1,7.31299503,7.012196253,0.490263377,91,24,B,F
1,18.2819622,17.63098464,0.516924764,92,24,B,F
1,23.92979953,23.09851758,0.530832456,93,24,B,F
1,5.40451811,5.164646504,0.485676094,94,24,B,F
1,16.78850218,16.18520258,0.513266674,95,24,B,F
1,19.60972298,18.91635731,0.520183988,96,24,B,F
1,33.38548663,32.25233661,0.554359045,97,24,B,F
1,33.11980625,31.99513794,0.553694144,98,24,B,F
1,16.80733626,16.20343539,0.513312754,99,24,B,F
1,45.71966592,44.19275339,0.585450004,100,24,B,F
1,9.666704092,9.290764331,0.495942741,101,95,B,F
1,14.63181793,14.09736939,0.507999138,102,95,B,F
1,10.79369191,10.38177362,0.49867044,103,95,B,F
1,10.86503118,10.45083543,0.498843284,104,95,B,F
1,4.894447807,4.67085994,0.484452829,105,95,B,F
1,14.23536805,13.71357598,0.507032814,106,95,B,F
1,6.335589765,6.065994163,0.487912032,107,95,B,F
1,11.63171401,11.19304229,0.500702171,108,95,B,F
1,6.315454963,6.046502153,0.487863638,109,95,B,F
1,1.73664812,1.613871428,0.476906316,110,95,B,F
1,6.245240416,5.978529172,0.487694891,111,95,B,F
1,4.087851126,3.890013455,0.482520837,112,95,B,F
1,1.76736221,1.643604986,0.476979492,113,95,B,F
1,28.4293661,27.45443774,0.541991722,114,95,B,F
1,5.948349233,5.691116091,0.486981616,115,95,B,F
1,12.64386648,12.1728823,0.503159913,116,5,D,M
1,11.36726089,10.93703171,0.500060708,117,5,D,M
1,42.3859214,40.965437,0.577005263,118,5,D,M
