Round,Allele,Line,Genotype,Pupa
1,M,5,B,N
1,M,5,B,N
1,M,5,B,T
1,M,5,B,N
1,M,5,B,N
1,M,5,B,N
1,M,5,B,T
1,M,5,B,T
1,M,5,B,T
1,M,5,B,N
1,M,5,B,N
1,M,5,B,NA
1,M,8,B,F
1,M,8,B,N
1,M,8,B,T
1,M,8,B,N
1,M,8,B,T
1,M,8,B,N
1,M,8,B,T
1,M,8,B,T
1,M,8,B,T
1,M,8,B,N
1,M,8,B,N
1,M,8,B,T
1,M,16,B,T
1,M,16,B,T
1,M,16,B,T
1,M,16,B,N
1,M,16,B,T
1,M,16,B,T
1,M,16,B,T
1,M,16,B,T
1,M,16,B,T
1,M,16,B,T
1,M,16,B,T
1,M,16,B,T
1,F,19,B,T
1,F,19,B,T
1,F,19,B,N
1,F,19,B,T
1,F,19,B,T
1,F,19,B,T
1,F,19,B,N
1,F,19,B,N
1,F,19,B,T
1,F,19,B,T
1,F,19,B,T
1,F,19,B,T
1,F,24,B,N
1,F,24,B,F
1,F,24,B,N
1,F,24,B,N
1,F,24,B,N
1,F,24,B,N
1,F,24,B,N
1,F,24,B,T
1,F,24,B,N
1,F,24,B,N
1,F,24,B,N
1,F,24,B,NA
1,F,95,B,N
1,F,95,B,F
1,F,95,B,F
1,F,95,B,T
1,F,95,B,F
1,F,95,B,T
1,F,95,B,F
1,F,95,B,T
1,F,95,B,N
1,F,95,B,T
1,F,95,B,N
1,F,95,B,T
1,M,5,D,T
1,M,5,D,T
1,M,5,D,T
1,M,5,D,T
1,M,5,D,T
1,M,5,D,T
1,M,5,D,N
1,M,5,D,T
1,M,5,D,T
1,M,5,D,T
1,M,5,D,T
1,M,5,D,NA
1,M,8,D,N
1,M,8,D,T
1,M,8,D,F
1,M,8,D,N
1,M,8,D,T
1,M,8,D,F
1,M,8,D,N
1,M,8,D,N
1,M,8,D,T
1,M,8,D,T
1,M,8,D,NA
1,M,8,D,NA
1,M,16,D,F
1,M,16,D,T
1,M,16,D,F
1,M,16,D,N
1,M,16,D,T
1,M,16,D,T
1,M,16,D,F
1,M,16,D,F
1,M,16,D,N
1,M,16,D,T
1,M,16,D,NA
1,M,16,D,NA
1,F,19,D,T
1,F,19,D,N
1,F,19,D,N
1,F,19,D,N
1,F,19,D,T
1,F,19,D,T
1,F,19,D,F
1,F,19,D,N
1,F,19,D,T
1,F,19,D,T
1,F,19,D,N
1,F,19,D,T
1,F,24,D,N
1,F,24,D,T
1,F,24,D,T
1,F,24,D,T
1,F,24,D,N
1,F,24,D,N
1,F,24,D,N
1,F,24,D,T
1,F,24,D,T
1,F,24,D,N
1,F,24,D,N
1,F,24,D,NA
1,F,95,D,N
1,F,95,D,N
1,F,95,D,N
1,F,95,D,F
1,F,95,D,N
1,F,95,D,N
1,F,95,D,F
1,F,95,D,F
1,F,95,D,T
1,F,95,D,F
1,F,95,D,T
1,F,95,D,F
2,M,5,B,N
2,M,5,B,T
2,M,5,B,T
2,M,5,B,T
2,M,5,B,N
2,M,5,B,F
2,M,5,B,T
2,M,5,B,T
2,M,5,B,T
2,M,5,B,T
2,M,5,B,T
2,M,5,B,NA
2,M,8,B,N
2,M,8,B,T
2,M,8,B,T
2,M,8,B,T
2,M,8,B,N
2,M,8,B,T
2,M,8,B,T
2,M,8,B,T
2,M,8,B,F
2,M,8,B,T
2,M,8,B,N
2,M,8,B,NA
2,M,16,B,N
2,M,16,B,F
2,M,16,B,T
2,M,16,B,T
2,M,16,B,T
2,M,16,B,N
2,M,16,B,T
2,M,16,B,F
2,M,16,B,F
2,M,16,B,T
2,M,16,B,T
2,M,16,B,NA
2,F,19,B,T
2,F,19,B,T
2,F,19,B,T
2,F,19,B,T
2,F,19,B,T
2,F,19,B,F
2,F,19,B,T
2,F,19,B,T
2,F,19,B,T
2,F,19,B,T
2,F,19,B,NA
2,F,19,B,NA
2,F,24,B,N
2,F,24,B,T
2,F,24,B,N
2,F,24,B,T
2,F,24,B,N
2,F,24,B,N
2,F,24,B,N
2,F,24,B,T
2,F,24,B,T
2,F,24,B,N
2,F,24,B,NA
2,F,24,B,NA
2,F,95,B,T
2,F,95,B,T
2,F,95,B,T
2,F,95,B,T
2,F,95,B,N
2,F,95,B,T
2,F,95,B,T
2,F,95,B,NA
2,F,95,B,NA
2,F,95,B,NA
2,F,95,B,NA
2,F,95,B,NA
2,M,5,D,T
2,M,5,D,T
2,M,5,D,F
2,M,5,D,T
2,M,5,D,T
2,M,5,D,T
2,M,5,D,T
2,M,5,D,T
2,M,5,D,F
2,M,5,D,T
2,M,5,D,T
2,M,5,D,NA
2,M,8,D,T
2,M,8,D,F
2,M,8,D,N
2,M,8,D,N
2,M,8,D,N
2,M,8,D,T
2,M,8,D,T
2,M,8,D,T
2,M,8,D,T
2,M,8,D,T
2,M,8,D,T
2,M,8,D,N
2,M,16,D,T
2,M,16,D,T
2,M,16,D,T
2,M,16,D,F
2,M,16,D,T
2,M,16,D,N
2,M,16,D,T
2,M,16,D,N
2,M,16,D,T
2,M,16,D,T
2,M,16,D,T
2,M,16,D,NA
2,F,19,D,F
2,F,19,D,T
2,F,19,D,T
2,F,19,D,F
2,F,19,D,T
2,F,19,D,T
2,F,19,D,F
2,F,19,D,F
2,F,19,D,F
2,F,19,D,N
2,F,19,D,T
2,F,19,D,T
2,F,24,D,N
2,F,24,D,F
2,F,24,D,F
2,F,24,D,T
2,F,24,D,T
2,F,24,D,F
2,F,24,D,T
2,F,24,D,F
2,F,24,D,T
2,F,24,D,T
2,F,24,D,T
2,F,24,D,NA
2,F,95,D,T
2,F,95,D,T
2,F,95,D,N
2,F,95,D,N
2,F,95,D,T
2,F,95,D,F
2,F,95,D,N
2,F,95,D,T
2,F,95,D,F
2,F,95,D,T
2,F,95,D,T
2,F,95,D,T
3,M,5,B,T
3,M,5,B,N
3,M,5,B,F
3,M,5,B,T
3,M,5,B,T
3,M,5,B,T
3,M,5,B,N
3,M,5,B,F
3,M,5,B,F
3,M,5,B,T
3,M,5,B,F
3,M,5,B,NA
3,M,8,B,T
3,M,8,B,N
3,M,8,B,N
3,M,8,B,F
3,M,8,B,F
3,M,8,B,T
3,M,8,B,N
3,M,8,B,T
3,M,8,B,N
3,M,8,B,NA
3,M,8,B,NA
3,M,8,B,NA
3,M,16,B,F
3,M,16,B,F
3,M,16,B,T
3,M,16,B,N
3,M,16,B,T
3,M,16,B,N
3,M,16,B,T
3,M,16,B,N
3,M,16,B,T
3,M,16,B,N
3,M,16,B,N
3,M,16,B,NA
3,F,19,B,F
3,F,19,B,F
3,F,19,B,T
3,F,19,B,T
3,F,19,B,F
3,F,19,B,N
3,F,19,B,F
3,F,19,B,T
3,F,19,B,T
3,F,19,B,T
3,F,19,B,T
3,F,19,B,NA
3,F,24,B,N
3,F,24,B,F
3,F,24,B,T
3,F,24,B,T
3,F,24,B,N
3,F,24,B,T
3,F,24,B,N
3,F,24,B,T
3,F,24,B,T
3,F,24,B,T
3,F,24,B,N
3,F,24,B,NA
3,F,95,B,T
3,F,95,B,T
3,F,95,B,T
3,F,95,B,T
3,F,95,B,N
3,F,95,B,T
3,M,5,D,T
3,M,5,D,T
3,M,5,D,F
3,M,5,D,F
3,M,5,D,T
3,M,5,D,T
3,M,5,D,F
3,M,5,D,T
3,M,5,D,T
3,M,5,D,T
3,M,5,D,N
3,M,5,D,N
3,M,8,D,T
3,M,8,D,F
3,M,8,D,T
3,M,8,D,F
3,M,8,D,F
3,M,8,D,F
3,M,8,D,F
3,M,8,D,T
3,M,8,D,N
3,M,8,D,F
3,M,8,D,T
3,M,8,D,NA
3,M,16,D,T
3,M,16,D,F
3,M,16,D,T
3,M,16,D,F
3,M,16,D,T
3,M,16,D,T
3,M,16,D,T
3,M,16,D,F
3,M,16,D,T
3,M,16,D,N
3,M,16,D,N
3,M,16,D,N
3,F,19,D,F
3,F,19,D,T
3,F,19,D,T
3,F,19,D,T
3,F,19,D,F
3,F,19,D,F
3,F,19,D,T
3,F,19,D,N
3,F,19,D,F
3,F,19,D,T
3,F,19,D,NA
3,F,19,D,NA
3,F,24,D,T
3,F,24,D,T
3,F,24,D,T
3,F,24,D,N
3,F,24,D,T
3,F,24,D,T
3,F,24,D,T
3,F,24,D,T
3,F,24,D,N
3,F,24,D,T
3,F,24,D,N
3,F,24,D,T
3,F,95,D,T
3,F,95,D,N
3,F,95,D,T
3,F,95,D,T
3,F,95,D,T
3,F,95,D,T
3,F,95,D,T
3,F,95,D,T
3,F,95,D,N
3,F,95,D,N
3,F,95,D,NA
3,F,95,D,NA
4,M,5,B,F
4,M,5,B,T
4,M,5,B,N
4,M,5,B,T
4,M,5,B,F
4,M,5,B,T
4,M,5,B,N
4,M,5,B,T
4,M,5,B,T
4,M,5,B,T
4,M,5,B,T
4,M,5,B,N
4,M,8,B,F
4,M,8,B,T
4,M,8,B,F
4,M,8,B,F
4,M,8,B,T
4,M,8,B,T
4,M,8,B,F
4,M,8,B,N
4,M,8,B,T
4,M,8,B,NA
4,M,8,B,NA
4,M,8,B,NA
4,M,16,B,F
4,M,16,B,T
4,M,16,B,F
4,M,16,B,T
4,M,16,B,N
4,M,16,B,T
