Line,Vial,Time 1,Time 2,Time 3,Mean time
M5,1,2.44,1.4,3.17,2.336666667
M5,2,5.51,2.43,1.41,3.116666667
M5,3,5.37,2.47,9.52,5.786666667
M5,4,3.23,4.21,6.3,4.58
M5,5,4.6,1.66,2.24,2.833333333
M5,6,5.52,1.81,2.96,3.43
M5,7,2.08,1.67,3.37,2.373333333
M5,8,3.08,3.88,2.08,3.013333333
M5,9,3.14,1.23,1.92,2.096666667
M5,10,4.15,6.26,2.06,4.156666667
M5,11,9.17,4.1,4.23,5.833333333
M5,12,5.62,3.81,4.62,4.683333333
M5,13,6.24,2.19,3.23,3.886666667
M5,14,3.8,2.59,3.29,3.226666667
M5,15,5.8,3.23,3.88,4.303333333
M5,16,3.36,1.79,3.31,2.82
M5,17,1.86,2.36,3.43,2.55
M5,18,3.89,3.91,3.48,3.76
M5,19,1.87,2.29,3.43,2.53
M5,20,2.53,2.58,3.23,2.78
M5,21,3.69,6.57,6.65,5.636666667
M5,22,3.39,3.04,6.64,4.356666667
M5,23,1.78,3.45,2.53,2.586666667
M5,24,3.23,3.31,2.37,2.97
M5,25,4.03,6,7.94,5.99
M5,26,1.88,7.29,2.53,3.9
M5,27,N/A,N/A,N/A,NA
M5,28,3.3,2.31,3.44,3.016666667
M5,29,4.07,3.91,6.7,4.893333333
M5,30,2.31,4.03,3.88,3.406666667
M5,31,4.34,4,3.28,3.873333333
M5,32,5.54,3.64,4.4,4.526666667
M5,33,2.16,1.79,2.02,1.99
M5,34,2.11,8.97,4.14,5.073333333
M5,35,8.01,8.13,3.38,6.506666667
M95,1,3.03,4.37,2.3,3.233333333
M95,2,2.1,2.38,1.64,2.04
M95,3,4.06,2.63,2.36,3.016666667
M95,4,3.74,1.65,2.63,2.673333333
M95,5,5.89,5.07,3.55,4.836666667
M95,6,2.82,4.44,2,3.086666667
M95,7,2.96,3.07,6.99,4.34
M95,8,3.6,2.3,5.95,3.95
M95,9,3.94,5.11,1.45,3.5
M95,10,10.02,6.73,3.22,6.656666667
M95,11,3.01,2.05,1.52,2.193333333
M95,12,2.64,4.2,3.12,3.32
M95,13,3.34,2.76,3.53,3.21
M95,14,2.17,3.47,2.43,2.69
M95,15,1.97,4.39,9.37,5.243333333
M95,16,2.17,1.91,4.04,2.706666667
M95,17,5.64,4.81,3.62,4.69
M95,18,4.04,5.9,5.44,5.126666667
M95,19,2.82,1.97,3.74,2.843333333
