"","day","event","line","censor","sex","chro","allele"
"415",3,1,"L1D",0,"M","D","L"
"416",7,4,"L1D",0,"M","D","L"
"417",7,4,"L1D",0,"M","D","L"
"418",7,4,"L1D",0,"M","D","L"
"419",7,4,"L1D",0,"M","D","L"
"420",10,2,"L1D",0,"M","D","L"
"421",10,2,"L1D",0,"M","D","L"
"422",17,1,"L1D",0,"M","D","L"
"423",19,1,"L1D",0,"M","D","L"
"424",21,2,"L1D",0,"M","D","L"
"425",21,2,"L1D",0,"M","D","L"
"426",24,2,"L1D",0,"M","D","L"
"427",24,2,"L1D",0,"M","D","L"
"428",28,1,"L1D",0,"M","D","L"
"429",31,2,"L1D",0,"M","D","L"
"430",31,2,"L1D",0,"M","D","L"
"431",33,3,"L1D",0,"M","D","L"
"432",33,3,"L1D",0,"M","D","L"
"433",33,3,"L1D",0,"M","D","L"
"434",35,4,"L1D",0,"M","D","L"
"435",35,4,"L1D",0,"M","D","L"
"436",35,4,"L1D",0,"M","D","L"
"437",35,4,"L1D",0,"M","D","L"
"438",38,2,"L1D",0,"M","D","L"
"439",38,2,"L1D",0,"M","D","L"
"440",40,2,"L1D",0,"M","D","L"
"441",40,2,"L1D",0,"M","D","L"
"442",45,4,"L1D",0,"M","D","L"
"443",45,4,"L1D",0,"M","D","L"
"444",45,4,"L1D",0,"M","D","L"
"445",45,4,"L1D",0,"M","D","L"
"446",47,4,"L1D",0,"M","D","L"
"447",47,4,"L1D",0,"M","D","L"
"448",47,4,"L1D",0,"M","D","L"
"449",47,4,"L1D",0,"M","D","L"
"450",49,3,"L1D",0,"M","D","L"
"451",49,3,"L1D",0,"M","D","L"
"452",49,3,"L1D",0,"M","D","L"
"453",52,8,"L1D",0,"M","D","L"
"454",52,8,"L1D",0,"M","D","L"
"455",52,8,"L1D",0,"M","D","L"
"456",52,8,"L1D",0,"M","D","L"
"457",52,8,"L1D",0,"M","D","L"
"458",52,8,"L1D",0,"M","D","L"
"459",52,8,"L1D",0,"M","D","L"
"460",52,8,"L1D",0,"M","D","L"
"461",54,5,"L1D",0,"M","D","L"
"462",54,5,"L1D",0,"M","D","L"
"463",54,5,"L1D",0,"M","D","L"
"464",54,5,"L1D",0,"M","D","L"
"465",54,5,"L1D",0,"M","D","L"
"466",59,8,"L1D",0,"M","D","L"
"467",59,8,"L1D",0,"M","D","L"
"468",59,8,"L1D",0,"M","D","L"
"469",59,8,"L1D",0,"M","D","L"
"470",59,8,"L1D",0,"M","D","L"
"471",59,8,"L1D",0,"M","D","L"
"472",59,8,"L1D",0,"M","D","L"
"473",59,8,"L1D",0,"M","D","L"
"474",61,2,"L1D",0,"M","D","L"
"475",61,2,"L1D",0,"M","D","L"
"476",63,4,"L1D",0,"M","D","L"
"477",63,4,"L1D",0,"M","D","L"
"478",63,4,"L1D",0,"M","D","L"
"479",63,4,"L1D",0,"M","D","L"
"480",66,4,"L1D",0,"M","D","L"
"481",66,4,"L1D",0,"M","D","L"
"482",66,4,"L1D",0,"M","D","L"
"483",66,4,"L1D",0,"M","D","L"
"484",68,1,"L1D",0,"M","D","L"
"485",73,2,"L1D",0,"M","D","L"
"486",73,2,"L1D",0,"M","D","L"
"487",77,1,"L1D",0,"M","D","L"
"488",80,2,"L1D",0,"M","D","L"
"489",80,2,"L1D",0,"M","D","L"
