,line,sex,chro,censor,day,allele
1,L1,F,B,1,3,L
2,L1,F,B,1,17,L
3,L1,F,B,1,17,L
4,L1,F,B,1,19,L
5,L1,F,B,1,19,L
6,L1,F,B,1,21,L
7,L1,F,B,1,21,L
8,L1,F,B,1,21,L
9,L1,F,B,1,24,L
10,L1,F,B,1,24,L
11,L1,F,B,1,24,L
12,L1,F,B,1,24,L
13,L1,F,B,1,24,L
14,L1,F,B,1,24,L
15,L1,F,B,1,26,L
16,L1,F,B,1,26,L
17,L1,F,B,1,26,L
18,L1,F,B,1,28,L
19,L1,F,B,1,28,L
20,L1,F,B,1,28,L
21,L1,F,B,1,28,L
22,L1,F,B,1,31,L
23,L1,F,B,1,31,L
24,L1,F,B,1,31,L
25,L1,F,B,1,31,L
26,L1,F,B,1,31,L
27,L1,F,B,1,31,L
28,L1,F,B,1,31,L
29,L1,F,B,1,31,L
30,L1,F,B,1,31,L
31,L1,F,B,1,31,L
32,L1,F,B,1,31,L
33,L1,F,B,1,31,L
34,L1,F,B,1,33,L
35,L1,F,B,1,33,L
36,L1,F,B,1,33,L
37,L1,F,B,1,33,L
38,L1,F,B,1,33,L
39,L1,F,B,1,33,L
40,L1,F,B,1,33,L
41,L1,F,B,1,33,L
42,L1,F,B,1,33,L
43,L1,F,B,1,33,L
44,L1,F,B,1,33,L
45,L1,F,B,1,35,L
46,L1,F,B,1,35,L
47,L1,F,B,1,35,L
48,L1,F,B,1,38,L
49,L1,F,B,1,38,L
50,L1,F,B,1,38,L
51,L1,F,B,1,38,L
52,L1,F,B,1,38,L
53,L1,F,B,1,38,L
54,L1,F,B,1,38,L
55,L1,F,B,1,38,L
56,L1,F,B,1,38,L
57,L1,F,B,1,38,L
58,L1,F,B,1,38,L
59,L1,F,B,1,40,L
60,L1,F,B,1,45,L
61,L1,F,B,1,45,L
62,L1,F,B,1,45,L
63,L1,F,B,1,45,L
64,L1,F,B,1,45,L
65,L1,F,B,1,45,L
66,L1,F,B,1,45,L
67,L1,F,B,1,45,L
