"day"	"event"	"line"	"censor"	"sex"	"chro"	"allele"
"1"	7	2	"L1"	0	"M"	"B"	"L"
"2"	7	2	"L1"	0	"M"	"B"	"L"
"3"	10	1	"L1"	0	"M"	"B"	"L"
"4"	14	1	"L1"	0	"M"	"B"	"L"
"5"	17	1	"L1"	0	"M"	"B"	"L"
"6"	19	2	"L1"	0	"M"	"B"	"L"
"7"	19	2	"L1"	0	"M"	"B"	"L"
"8"	21	1	"L1"	0	"M"	"B"	"L"
"9"	24	1	"L1"	0	"M"	"B"	"L"
"10"	26	2	"L1"	0	"M"	"B"	"L"
"11"	26	2	"L1"	0	"M"	"B"	"L"
"12"	28	2	"L1"	0	"M"	"B"	"L"
"13"	28	2	"L1"	0	"M"	"B"	"L"
"14"	31	2	"L1"	0	"M"	"B"	"L"
"15"	31	2	"L1"	0	"M"	"B"	"L"
"16"	33	2	"L1"	0	"M"	"B"	"L"
"17"	33	2	"L1"	0	"M"	"B"	"L"
"18"	35	1	"L1"	0	"M"	"B"	"L"
"19"	38	2	"L1"	0	"M"	"B"	"L"
"20"	38	2	"L1"	0	"M"	"B"	"L"
"21"	45	2	"L1"	0	"M"	"B"	"L"
"22"	45	2	"L1"	0	"M"	"B"	"L"
"23"	49	1	"L1"	0	"M"	"B"	"L"
"24"	52	4	"L1"	0	"M"	"B"	"L"
"25"	52	4	"L1"	0	"M"	"B"	"L"
"26"	52	4	"L1"	0	"M"	"B"	"L"
"27"	52	4	"L1"	0	"M"	"B"	"L"
"28"	54	1	"L1"	0	"M"	"B"	"L"
"29"	56	1	"L1"	0	"M"	"B"	"L"
"30"	59	2	"L1"	0	"M"	"B"	"L"
"31"	59	2	"L1"	0	"M"	"B"	"L"
"32"	61	2	"L1"	0	"M"	"B"	"L"
"33"	61	2	"L1"	0	"M"	"B"	"L"
"34"	66	3	"L1"	0	"M"	"B"	"L"
"35"	66	3	"L1"	0	"M"	"B"	"L"
"36"	66	3	"L1"	0	"M"	"B"	"L"
"37"	68	4	"L1"	0	"M"	"B"	"L"
"38"	68	4	"L1"	0	"M"	"B"	"L"
"39"	68	4	"L1"	0	"M"	"B"	"L"
"40"	68	4	"L1"	0	"M"	"B"	"L"
"41"	70	2	"L1"	0	"M"	"B"	"L"
"42"	70	2	"L1"	0	"M"	"B"	"L"
"43"	73	6	"L1"	0	"M"	"B"	"L"
"44"	73	6	"L1"	0	"M"	"B"	"L"
"45"	73	6	"L1"	0	"M"	"B"	"L"
"46"	73	6	"L1"	0	"M"	"B"	"L"
"47"	73	6	"L1"	0	"M"	"B"	"L"
"48"	73	6	"L1"	0	"M"	"B"	"L"
"49"	75	3	"L1"	0	"M"	"B"	"L"
"50"	75	3	"L1"	0	"M"	"B"	"L"
"51"	75	3	"L1"	0	"M"	"B"	"L"
"52"	77	1	"L1"	0	"M"	"B"	"L"
"53"	80	2	"L1"	0	"M"	"B"	"L"
"54"	80	2	"L1"	0	"M"	"B"	"L"
"55"	5	2	"L1"	0	"M"	"B"	"L"
"56"	5	2	"L1"	0	"M"	"B"	"L"
"57"	7	3	"L1"	0	"M"	"B"	"L"
"58"	7	3	"L1"	0	"M"	"B"	"L"
"59"	7	3	"L1"	0	"M"	"B"	"L"
"60"	10	1	"L1"	0	"M"	"B"	"L"
"61"	12	1	"L1"	0	"M"	"B"	"L"
"62"	14	1	"L1"	0	"M"	"B"	"L"
"63"	19	2	"L1"	0	"M"	"B"	"L"
"64"	19	2	"L1"	0	"M"	"B"	"L"
"65"	26	2	"L1"	0	"M"	"B"	"L"
"66"	26	2	"L1"	0	"M"	"B"	"L"
"67"	28	1	"L1"	0	"M"	"B"	"L"
"68"	3	5	"L2"	0	"M"	"B"	"L"
"69"	3	5	"L2"	0	"M"	"B"	"L"
"70"	3	5	"L2"	0	"M"	"B"	"L"
"71"	3	5	"L2"	0	"M"	"B"	"L"
"72"	3	5	"L2"	0	"M"	"B"	"L"
"73"	5	1	"L2"	0	"M"	"B"	"L"
"74"	7	1	"L2"	0	"M"	"B"	"L"
"75"	10	3	"L2"	0	"M"	"B"	"L"
"76"	10	3	"L2"	0	"M"	"B"	"L"
"77"	10	3	"L2"	0	"M"	"B"	"L"
"78"	12	1	"L2"	0	"M"	"B"	"L"
"79"	14	1	"L2"	0	"M"	"B"	"L"
"80"	21	2	"L2"	0	"M"	"B"	"L"
"81"	21	2	"L2"	0	"M"	"B"	"L"
"82"	26	3	"L2"	0	"M"	"B"	"L"
"83"	26	3	"L2"	0	"M"	"B"	"L"
"84"	26	3	"L2"	0	"M"	"B"	"L"
"85"	28	1	"L2"	0	"M"	"B"	"L"
"86"	31	7	"L2"	0	"M"	"B"	"L"
"87"	31	7	"L2"	0	"M"	"B"	"L"
"88"	31	7	"L2"	0	"M"	"B"	"L"
"89"	31	7	"L2"	0	"M"	"B"	"L"
"90"	31	7	"L2"	0	"M"	"B"	"L"
"91"	31	7	"L2"	0	"M"	"B"	"L"
"92"	31	7	"L2"	0	"M"	"B"	"L"
"93"	33	2	"L2"	0	"M"	"B"	"L"
"94"	33	2	"L2"	0	"M"	"B"	"L"
"95"	35	6	"L2"	0	"M"	"B"	"L"
"96"	35	6	"L2"	0	"M"	"B"	"L"
"97"	35	6	"L2"	0	"M"	"B"	"L"
"98"	35	6	"L2"	0	"M"	"B"	"L"
"99"	35	6	"L2"	0	"M"	"B"	"L"
"100"	35	6	"L2"	0	"M"	"B"	"L"
"101"	38	3	"L2"	0	"M"	"B"	"L"
"102"	38	3	"L2"	0	"M"	"B"	"L"
"103"	38	3	"L2"	0	"M"	"B"	"L"
"104"	40	3	"L2"	0	"M"	"B"	"L"
"105"	40	3	"L2"	0	"M"	"B"	"L"
"106"	40	3	"L2"	0	"M"	"B"	"L"
"107"	45	9	"L2"	0	"M"	"B"	"L"
"108"	45	9	"L2"	0	"M"	"B"	"L"
"109"	45	9	"L2"	0	"M"	"B"	"L"
"110"	45	9	"L2"	0	"M"	"B"	"L"
"111"	45	9	"L2"	0	"M"	"B"	"L"
"112"	45	9	"L2"	0	"M"	"B"	"L"
"113"	45	9	"L2"	0	"M"	"B"	"L"
"114"	45	9	"L2"	0	"M"	"B"	"L"
"115"	45	9	"L2"	0	"M"	"B"	"L"
"116"	49	3	"L2"	0	"M"	"B"	"L"
"117"	49	3	"L2"	0	"M"	"B"	"L"
"118"	49	3	"L2"	0	"M"	"B"	"L"
"119"	52	2	"L2"	0	"M"	"B"	"L"
"120"	52	2	"L2"	0	"M"	"B"	"L"
"121"	54	3	"L2"	0	"M"	"B"	"L"
"122"	54	3	"L2"	0	"M"	"B"	"L"
"123"	54	3	"L2"	0	"M"	"B"	"L"
"124"	56	1	"L2"	0	"M"	"B"	"L"
"125"	59	3	"L2"	0	"M"	"B"	"L"
"126"	59	3	"L2"	0	"M"	"B"	"L"
"127"	59	3	"L2"	0	"M"	"B"	"L"
"128"	61	2	"L2"	0	"M"	"B"	"L"
"129"	61	2	"L2"	0	"M"	"B"	"L"
"130"	63	3	"L2"	0	"M"	"B"	"L"
"131"	63	3	"L2"	0	"M"	"B"	"L"
"132"	63	3	"L2"	0	"M"	"B"	"L"
"133"	66	1	"L2"	0	"M"	"B"	"L"
"134"	73	4	"L2"	0	"M"	"B"	"L"
"135"	73	4	"L2"	0	"M"	"B"	"L"
