day	event	condition	censor
3	5	S3Bfemale	1
10	3	S3Bfemale	1
12	1	S3Bfemale	1
14	1	S3Bfemale	1
17	3	S3Bfemale	1
19	3	S3Bfemale	1
21	3	S3Bfemale	1
24	7	S3Bfemale	1
26	4	S3Bfemale	1
28	8	S3Bfemale	1
31	11	S3Bfemale	1
33	7	S3Bfemale	1
35	4	S3Bfemale	1
38	9	S3Bfemale	1
40	2	S3Bfemale	1
45	4	S3Bfemale	1
47	1	S3Bfemale	1
54	1	S3Bfemale	1
56	1	S3Bfemale	1
59	3	S3Bfemale	1
61	1	S3Bfemale	1
5	1	S3Bfemale	1
19	2	S3Bfemale	1
24	2	S3Bfemale	1
33	1	S3Bfemale	1
5	1	S3Dfemale	1
5	1	S3Dfemale	1
12	3	S3Dfemale	1
14	1	S3Dfemale	1
21	1	S3Dfemale	1
24	1	S3Dfemale	1
31	3	S3Dfemale	1
33	2	S3Dfemale	1
35	1	S3Dfemale	1
38	2	S3Dfemale	1
40	2	S3Dfemale	1
45	6	S3Dfemale	1
47	4	S3Dfemale	1
49	2	S3Dfemale	1
52	7	S3Dfemale	1
59	4	S3Dfemale	1
63	5	S3Dfemale	1
66	3	S3Dfemale	1
68	1	S3Dfemale	1
70	1	S3Dfemale	1
80	2	S3Dfemale	1
84	1	S3Dfemale	1
14	1	S3Dfemale	1
17	1	S3Dfemale	1
21	4	S3Dfemale	1
24	1	S3Dfemale	1
26	2	S3Dfemale	1
31	1	S3Dfemale	1
35	1	S3Dfemale	1
3	4	S3Bmale	1
5	1	S3Bmale	1
17	1	S3Bmale	1
19	4	S3Bmale	1
24	2	S3Bmale	1
26	1	S3Bmale	1
28	1	S3Bmale	1
31	2	S3Bmale	1
33	4	S3Bmale	1
35	3	S3Bmale	1
38	3	S3Bmale	1
40	5	S3Bmale	1
45	4	S3Bmale	1
47	1	S3Bmale	1
52	3	S3Bmale	1
54	1	S3Bmale	1
56	2	S3Bmale	1
59	4	S3Bmale	1
61	3	S3Bmale	1
63	2	S3Bmale	1
66	4	S3Bmale	1
68	2	S3Bmale	1
70	1	S3Bmale	1
73	3	S3Bmale	1
77	1	S3Bmale	1
80	2	S3Bmale	1
82	1	S3Bmale	1
84	1	S3Bmale	1
5	1	S3Bmale	1
12	1	S3Bmale	1
17	1	S3Bmale	1
19	1	S3Bmale	1
21	1	S3Bmale	1
24	3	S3Bmale	1
26	1	S3Bmale	1
28	1	S3Bmale	1
3	2	S3Dmale	1
14	1	S3Dmale	1
24	2	S3Dmale	1
26	2	S3Dmale	1
28	2	S3Dmale	1
31	2	S3Dmale	1
33	2	S3Dmale	1
35	1	S3Dmale	1
38	4	S3Dmale	1
40	2	S3Dmale	1
45	6	S3Dmale	1
47	2	S3Dmale	1
49	2	S3Dmale	1
52	7	S3Dmale	1
56	2	S3Dmale	1
59	5	S3Dmale	1
61	2	S3Dmale	1
63	1	S3Dmale	1
68	1	S3Dmale	1
70	1	S3Dmale	1
73	2	S3Dmale	1
75	2	S3Dmale	1
77	2	S3Dmale	1
80	2	S3Dmale	1
84	1	S3Dmale	1
91	1	S3Dmale	1
94	1	S3Dmale	1
5	6	S3Dmale	1
5	3	S3Dmale	1
14	1	S3Dmale	1
17	1	S3Dmale	1
19	2	S3Dmale	1
21	3	S3Dmale	1
24	1	S3Dmale	1
26	1	S3Dmale	1
28	1	S3Dmale	1
31	1	S3Dmale	1
