day	event	condition	censor
3	1	L1B	0
17	2	L1B	0
17	2	L1B	0
19	2	L1B	0
19	2	L1B	0
21	3	L1B	0
21	3	L1B	0
21	3	L1B	0
24	6	L1B	0
24	6	L1B	0
24	6	L1B	0
24	6	L1B	0
24	6	L1B	0
24	6	L1B	0
26	3	L1B	0
26	3	L1B	0
26	3	L1B	0
28	4	L1B	0
28	4	L1B	0
28	4	L1B	0
28	4	L1B	0
31	12	L1B	0
31	12	L1B	0
31	12	L1B	0
31	12	L1B	0
31	12	L1B	0
31	12	L1B	0
31	12	L1B	0
31	12	L1B	0
31	12	L1B	0
31	12	L1B	0
31	12	L1B	0
31	12	L1B	0
33	11	L1B	0
33	11	L1B	0
33	11	L1B	0
33	11	L1B	0
33	11	L1B	0
33	11	L1B	0
33	11	L1B	0
33	11	L1B	0
33	11	L1B	0
33	11	L1B	0
33	11	L1B	0
35	3	L1B	0
35	3	L1B	0
35	3	L1B	0
38	11	L1B	0
38	11	L1B	0
38	11	L1B	0
38	11	L1B	0
38	11	L1B	0
38	11	L1B	0
38	11	L1B	0
38	11	L1B	0
38	11	L1B	0
38	11	L1B	0
38	11	L1B	0
40	1	L1B	0
45	11	L1B	0
45	11	L1B	0
45	11	L1B	0
45	11	L1B	0
45	11	L1B	0
45	11	L1B	0
45	11	L1B	0
45	11	L1B	0
45	11	L1B	0
45	11	L1B	0
45	11	L1B	0
47	2	L1B	0
47	2	L1B	0
52	3	L1B	0
52	3	L1B	0
52	3	L1B	0
56	1	L1B	0
59	1	L1B	0
61	1	L1B	0
63	1	L1B	0
70	1	L1B	0
73	1	L1B	0
75	1	L1B	0
80	1	L1B	0
7	1	L1B	0
17	1	L1B	0
19	1	L1B	0
24	1	L1B	0
40	1	L1B	0
3	2	L2B	0
3	2	L2B	0
5	1	L2B	0
12	2	L2B	0
12	2	L2B	0
14	2	L2B	0
14	2	L2B	0
17	4	L2B	0
17	4	L2B	0
17	4	L2B	0
17	4	L2B	0
19	4	L2B	0
19	4	L2B	0
19	4	L2B	0
19	4	L2B	0
21	3	L2B	0
21	3	L2B	0
21	3	L2B	0
24	7	L2B	0
24	7	L2B	0
24	7	L2B	0
24	7	L2B	0
24	7	L2B	0
24	7	L2B	0
24	7	L2B	0
26	2	L2B	0
26	2	L2B	0
28	4	L2B	0
28	4	L2B	0
28	4	L2B	0
28	4	L2B	0
31	3	L2B	0
31	3	L2B	0
31	3	L2B	0
33	6	L2B	0
33	6	L2B	0
33	6	L2B	0
33	6	L2B	0
33	6	L2B	0
33	6	L2B	0
35	3	L2B	0
35	3	L2B	0
35	3	L2B	0
38	1	L2B	0
40	3	L2B	0
40	3	L2B	0
40	3	L2B	0
45	5	L2B	0
45	5	L2B	0
45	5	L2B	0
45	5	L2B	0
45	5	L2B	0
47	2	L2B	0
47	2	L2B	0
49	3	L2B	0
49	3	L2B	0
49	3	L2B	0
52	5	L2B	0
52	5	L2B	0
52	5	L2B	0
52	5	L2B	0
52	5	L2B	0
54	1	L2B	0
59	2	L2B	0
59	2	L2B	0
66	3	L2B	0
66	3	L2B	0
66	3	L2B	0
70	4	L2B	0
70	4	L2B	0
70	4	L2B	0
70	4	L2B	0
73	1	L2B	0
75	1	L2B	0
77	1	L2B	0
80	3	L2B	0
80	3	L2B	0
80	3	L2B	0
7	2	L2B	0
7	2	L2B	0
12	1	L2B	0
24	1	L2B	0
26	2	L2B	0
26	2	L2B	0
35	1	L2B	0
40	1	L2B	0
3	4	L3B	0
3	4	L3B	0
3	4	L3B	0
3	4	L3B	0
5	1	L3B	0
10	1	L3B	0
12	1	L3B	0
17	1	L3B	0
19	1	L3B	0
24	3	L3B	0
24	3	L3B	0
24	3	L3B	0
26	1	L3B	0
28	1	L3B	0
31	7	L3B	0
31	7	L3B	0
31	7	L3B	0
31	7	L3B	0
31	7	L3B	0
31	7	L3B	0
31	7	L3B	0
33	12	L3B	0
33	12	L3B	0
33	12	L3B	0
33	12	L3B	0
33	12	L3B	0
33	12	L3B	0
33	12	L3B	0
33	12	L3B	0
33	12	L3B	0
33	12	L3B	0
33	12	L3B	0
33	12	L3B	0
35	1	L3B	0
38	10	L3B	0
38	10	L3B	0
38	10	L3B	0
38	10	L3B	0
38	10	L3B	0
38	10	L3B	0
38	10	L3B	0
38	10	L3B	0
38	10	L3B	0
38	10	L3B	0
40	1	L3B	0
45	8	L3B	0
45	8	L3B	0
45	8	L3B	0
45	8	L3B	0
45	8	L3B	0
45	8	L3B	0
45	8	L3B	0
45	8	L3B	0
47	4	L3B	0
47	4	L3B	0
47	4	L3B	0
47	4	L3B	0
49	1	L3B	0
52	2	L3B	0
52	2	L3B	0
54	3	L3B	0
54	3	L3B	0
54	3	L3B	0
56	3	L3B	0
56	3	L3B	0
56	3	L3B	0
59	2	L3B	0
59	2	L3B	0
66	1	L3B	0
70	1	L3B	0
73	1	L3B	0
77	2	L3B	0
77	2	L3B	0
80	3	L3B	0
80	3	L3B	0
80	3	L3B	0
82	1	L3B	0
7	1	L3B	0
12	1	L3B	0
21	1	L3B	0
24	1	L3B	0
28	2	L3B	0
28	2	L3B	0
3	2	S1B	0
3	2	S1B	0
7	2	S1B	0
7	2	S1B	0
14	3	S1B	0
14	3	S1B	0
14	3	S1B	0
21	1	S1B	0
24	1	S1B	0
26	1	S1B	0
28	2	S1B	0
28	2	S1B	0
31	17	S1B	0
31	17	S1B	0
31	17	S1B	0
31	17	S1B	0
31	17	S1B	0
31	17	S1B	0
31	17	S1B	0
31	17	S1B	0
31	17	S1B	0
31	17	S1B	0
31	17	S1B	0
31	17	S1B	0
31	17	S1B	0
31	17	S1B	0
31	17	S1B	0
31	17	S1B	0
31	17	S1B	0
33	4	S1B	0
33	4	S1B	0
33	4	S1B	0
33	4	S1B	0
35	3	S1B	0
35	3	S1B	0
35	3	S1B	0
38	10	S1B	0
38	10	S1B	0
38	10	S1B	0
38	10	S1B	0
38	10	S1B	0
38	10	S1B	0
38	10	S1B	0
38	10	S1B	0
38	10	S1B	0
38	10	S1B	0
40	2	S1B	0
40	2	S1B	0
45	4	S1B	0
45	4	S1B	0
45	4	S1B	0
45	4	S1B	0
47	2	S1B	0
47	2	S1B	0
49	2	S1B	0
49	2	S1B	0
52	6	S1B	0
52	6	S1B	0
52	6	S1B	0
52	6	S1B	0
52	6	S1B	0
52	6	S1B	0
54	2	S1B	0
54	2	S1B	0
56	1	S1B	0
59	3	S1B	0
59	3	S1B	0
59	3	S1B	0
61	1	S1B	0
63	1	S1B	0
66	6	S1B	0
66	6	S1B	0
66	6	S1B	0
66	6	S1B	0
66	6	S1B	0
66	6	S1B	0
73	2	S1B	0
73	2	S1B	0
75	2	S1B	0
75	2	S1B	0
80	2	S1B	0
80	2	S1B	0
5	1	S1B	0
7	1	S1B	0
12	1	S1B	0
14	1	S1B	0
24	2	S1B	0
24	2	S1B	0
28	1	S1B	0
33	1	S1B	0
35	1	S1B	0
40	3	S1B	0
40	3	S1B	0
40	3	S1B	0
3	1	S2B	0
7	2	S2B	0
7	2	S2B	0
10	1	S2B	0
12	3	S2B	0
12	3	S2B	0
12	3	S2B	0
14	4	S2B	0
14	4	S2B	0
14	4	S2B	0
14	4	S2B	0
17	3	S2B	0
17	3	S2B	0
17	3	S2B	0
19	2	S2B	0
19	2	S2B	0
21	1	S2B	0
24	10	S2B	0
24	10	S2B	0
24	10	S2B	0
24	10	S2B	0
24	10	S2B	0
24	10	S2B	0
24	10	S2B	0
24	10	S2B	0
24	10	S2B	0
24	10	S2B	0
26	10	S2B	0
26	10	S2B	0
26	10	S2B	0
26	10	S2B	0
26	10	S2B	0
26	10	S2B	0
26	10	S2B	0
26	10	S2B	0
26	10	S2B	0
26	10	S2B	0
28	8	S2B	0
28	8	S2B	0
28	8	S2B	0
28	8	S2B	0
28	8	S2B	0
28	8	S2B	0
28	8	S2B	0
28	8	S2B	0
31	10	S2B	0
31	10	S2B	0
31	10	S2B	0
31	10	S2B	0
31	10	S2B	0
31	10	S2B	0
31	10	S2B	0
31	10	S2B	0
31	10	S2B	0
31	10	S2B	0
33	12	S2B	0
33	12	S2B	0
33	12	S2B	0
33	12	S2B	0
33	12	S2B	0
33	12	S2B	0
33	12	S2B	0
