day,event,line,censor,sex,chro,allelle
7,2,L1,0,M,B,L
7,2,L1,0,M,B,L
10,1,L1,0,M,B,L
14,1,L1,0,M,B,L
17,1,L1,0,M,B,L
19,2,L1,0,M,B,L
19,2,L1,0,M,B,L
21,1,L1,0,M,B,L
24,1,L1,0,M,B,L
26,2,L1,0,M,B,L
26,2,L1,0,M,B,L
28,2,L1,0,M,B,L
28,2,L1,0,M,B,L
31,2,L1,0,M,B,L
31,2,L1,0,M,B,L
33,2,L1,0,M,B,L
33,2,L1,0,M,B,L
35,1,L1,0,M,B,L
38,2,L1,0,M,B,L
38,2,L1,0,M,B,L
45,2,L1,0,M,B,L
45,2,L1,0,M,B,L
49,1,L1,0,M,B,L
52,4,L1,0,M,B,L
52,4,L1,0,M,B,L
52,4,L1,0,M,B,L
52,4,L1,0,M,B,L
54,1,L1,0,M,B,L
56,1,L1,0,M,B,L
59,2,L1,0,M,B,L
59,2,L1,0,M,B,L
61,2,L1,0,M,B,L
61,2,L1,0,M,B,L
66,3,L1,0,M,B,L
66,3,L1,0,M,B,L
66,3,L1,0,M,B,L
68,4,L1,0,M,B,L
68,4,L1,0,M,B,L
68,4,L1,0,M,B,L
68,4,L1,0,M,B,L
70,2,L1,0,M,B,L
70,2,L1,0,M,B,L
73,6,L1,0,M,B,L
73,6,L1,0,M,B,L
73,6,L1,0,M,B,L
73,6,L1,0,M,B,L
73,6,L1,0,M,B,L
73,6,L1,0,M,B,L
75,3,L1,0,M,B,L
75,3,L1,0,M,B,L
75,3,L1,0,M,B,L
77,1,L1,0,M,B,L
80,2,L1,0,M,B,L
80,2,L1,0,M,B,L
5,2,L1,0,M,B,L
5,2,L1,0,M,B,L
7,3,L1,0,M,B,L
7,3,L1,0,M,B,L
7,3,L1,0,M,B,L
10,1,L1,0,M,B,L
12,1,L1,0,M,B,L
14,1,L1,0,M,B,L
19,2,L1,0,M,B,L
19,2,L1,0,M,B,L
26,2,L1,0,M,B,L
26,2,L1,0,M,B,L
28,1,L1,0,M,B,L
3,5,L2,0,M,B,L
3,5,L2,0,M,B,L
3,5,L2,0,M,B,L
3,5,L2,0,M,B,L
3,5,L2,0,M,B,L
5,1,L2,0,M,B,L
7,1,L2,0,M,B,L
10,3,L2,0,M,B,L
10,3,L2,0,M,B,L
10,3,L2,0,M,B,L
12,1,L2,0,M,B,L
14,1,L2,0,M,B,L
21,2,L2,0,M,B,L
21,2,L2,0,M,B,L
26,3,L2,0,M,B,L
26,3,L2,0,M,B,L
26,3,L2,0,M,B,L
28,1,L2,0,M,B,L
31,7,L2,0,M,B,L
31,7,L2,0,M,B,L
31,7,L2,0,M,B,L
31,7,L2,0,M,B,L
31,7,L2,0,M,B,L
31,7,L2,0,M,B,L
31,7,L2,0,M,B,L
33,2,L2,0,M,B,L
33,2,L2,0,M,B,L
35,6,L2,0,M,B,L
35,6,L2,0,M,B,L
35,6,L2,0,M,B,L
35,6,L2,0,M,B,L
35,6,L2,0,M,B,L
35,6,L2,0,M,B,L
38,3,L2,0,M,B,L
38,3,L2,0,M,B,L
38,3,L2,0,M,B,L
40,3,L2,0,M,B,L
40,3,L2,0,M,B,L
40,3,L2,0,M,B,L
45,9,L2,0,M,B,L
45,9,L2,0,M,B,L
45,9,L2,0,M,B,L
45,9,L2,0,M,B,L
45,9,L2,0,M,B,L
45,9,L2,0,M,B,L
45,9,L2,0,M,B,L
45,9,L2,0,M,B,L
45,9,L2,0,M,B,L
49,3,L2,0,M,B,L
49,3,L2,0,M,B,L
49,3,L2,0,M,B,L
52,2,L2,0,M,B,L
52,2,L2,0,M,B,L
54,3,L2,0,M,B,L
54,3,L2,0,M,B,L
54,3,L2,0,M,B,L
56,1,L2,0,M,B,L
59,3,L2,0,M,B,L
59,3,L2,0,M,B,L
59,3,L2,0,M,B,L
61,2,L2,0,M,B,L
61,2,L2,0,M,B,L
63,3,L2,0,M,B,L
63,3,L2,0,M,B,L
63,3,L2,0,M,B,L
66,1,L2,0,M,B,L
73,4,L2,0,M,B,L
73,4,L2,0,M,B,L
73,4,L2,0,M,B,L
73,4,L2,0,M,B,L
75,1,L2,0,M,B,L
80,1,L2,0,M,B,L
5,8,L2,0,M,B,L
5,8,L2,0,M,B,L
5,8,L2,0,M,B,L
5,8,L2,0,M,B,L
5,8,L2,0,M,B,L
5,8,L2,0,M,B,L
5,8,L2,0,M,B,L
5,8,L2,0,M,B,L
7,2,L2,0,M,B,L
7,2,L2,0,M,B,L
10,1,L2,0,M,B,L
12,1,L2,0,M,B,L
14,1,L2,0,M,B,L
24,1,L2,0,M,B,L
26,1,L2,0,M,B,L
38,1,L2,0,M,B,L
3,3,L3,0,M,B,L
3,3,L3,0,M,B,L
3,3,L3,0,M,B,L
10,3,L3,0,M,B,L
10,3,L3,0,M,B,L
10,3,L3,0,M,B,L
17,1,L3,0,M,B,L
21,1,L3,0,M,B,L
24,2,L3,0,M,B,L
24,2,L3,0,M,B,L
31,1,L3,0,M,B,L
33,1,L3,0,M,B,L
35,2,L3,0,M,B,L
35,2,L3,0,M,B,L
38,4,L3,0,M,B,L
38,4,L3,0,M,B,L
38,4,L3,0,M,B,L
38,4,L3,0,M,B,L
45,3,L3,0,M,B,L
45,3,L3,0,M,B,L
45,3,L3,0,M,B,L
52,2,L3,0,M,B,L
52,2,L3,0,M,B,L
54,2,L3,0,M,B,L
54,2,L3,0,M,B,L
56,1,L3,0,M,B,L
59,2,L3,0,M,B,L
59,2,L3,0,M,B,L
61,2,L3,0,M,B,L
61,2,L3,0,M,B,L
63,1,L3,0,M,B,L
66,7,L3,0,M,B,L
66,7,L3,0,M,B,L
66,7,L3,0,M,B,L
66,7,L3,0,M,B,L
66,7,L3,0,M,B,L
66,7,L3,0,M,B,L
66,7,L3,0,M,B,L
68,1,L3,0,M,B,L
70,3,L3,0,M,B,L
70,3,L3,0,M,B,L
70,3,L3,0,M,B,L
73,16,L3,0,M,B,L
73,16,L3,0,M,B,L
73,16,L3,0,M,B,L
73,16,L3,0,M,B,L
73,16,L3,0,M,B,L
73,16,L3,0,M,B,L
73,16,L3,0,M,B,L
73,16,L3,0,M,B,L
73,16,L3,0,M,B,L
73,16,L3,0,M,B,L
73,16,L3,0,M,B,L
73,16,L3,0,M,B,L
73,16,L3,0,M,B,L
73,16,L3,0,M,B,L
73,16,L3,0,M,B,L
73,16,L3,0,M,B,L
75,1,L3,0,M,B,L
77,3,L3,0,M,B,L
77,3,L3,0,M,B,L
77,3,L3,0,M,B,L
80,5,L3,0,M,B,L
80,5,L3,0,M,B,L
80,5,L3,0,M,B,L
80,5,L3,0,M,B,L
80,5,L3,0,M,B,L
82,2,L3,0,M,B,L
82,2,L3,0,M,B,L
84,1,L3,0,M,B,L
5,1,L3,0,M,B,L
7,4,L3,0,M,B,L
7,4,L3,0,M,B,L
7,4,L3,0,M,B,L
7,4,L3,0,M,B,L
12,2,L3,0,M,B,L
12,2,L3,0,M,B,L
14,1,L3,0,M,B,L
17,2,L3,0,M,B,L
17,2,L3,0,M,B,L
19,1,L3,0,M,B,L
21,2,L3,0,M,B,L
21,2,L3,0,M,B,L
26,1,L3,0,M,B,L
28,3,L3,0,M,B,L
28,3,L3,0,M,B,L
28,3,L3,0,M,B,L
33,1,L3,0,M,B,L
35,1,L3,0,M,B,L
40,1,L3,0,M,B,L
3,2,S1,0,M,B,S
3,2,S1,0,M,B,S
5,1,S1,0,M,B,S
7,3,S1,0,M,B,S
7,3,S1,0,M,B,S
7,3,S1,0,M,B,S
10,1,S1,0,M,B,S
19,1,S1,0,M,B,S
24,2,S1,0,M,B,S
24,2,S1,0,M,B,S
28,1,S1,0,M,B,S
31,1,S1,0,M,B,S
33,3,S1,0,M,B,S
33,3,S1,0,M,B,S
33,3,S1,0,M,B,S
35,3,S1,0,M,B,S
35,3,S1,0,M,B,S
35,3,S1,0,M,B,S
38,4,S1,0,M,B,S
