day,event,condition,censor,chro,allele
3,1,5B,0,B,L
17,2,5B,0,B,L
17,2,5B,0,B,L
19,2,5B,0,B,L
19,2,5B,0,B,L
21,3,5B,0,B,L
21,3,5B,0,B,L
21,3,5B,0,B,L
24,6,5B,0,B,L
24,6,5B,0,B,L
24,6,5B,0,B,L
24,6,5B,0,B,L
24,6,5B,0,B,L
24,6,5B,0,B,L
26,3,5B,0,B,L
26,3,5B,0,B,L
26,3,5B,0,B,L
28,4,5B,0,B,L
28,4,5B,0,B,L
28,4,5B,0,B,L
28,4,5B,0,B,L
31,12,5B,0,B,L
31,12,5B,0,B,L
31,12,5B,0,B,L
31,12,5B,0,B,L
31,12,5B,0,B,L
31,12,5B,0,B,L
31,12,5B,0,B,L
31,12,5B,0,B,L
31,12,5B,0,B,L
31,12,5B,0,B,L
31,12,5B,0,B,L
31,12,5B,0,B,L
33,11,5B,0,B,L
33,11,5B,0,B,L
33,11,5B,0,B,L
33,11,5B,0,B,L
33,11,5B,0,B,L
33,11,5B,0,B,L
33,11,5B,0,B,L
33,11,5B,0,B,L
33,11,5B,0,B,L
33,11,5B,0,B,L
33,11,5B,0,B,L
35,3,5B,0,B,L
35,3,5B,0,B,L
35,3,5B,0,B,L
38,11,5B,0,B,L
38,11,5B,0,B,L
38,11,5B,0,B,L
38,11,5B,0,B,L
38,11,5B,0,B,L
38,11,5B,0,B,L
38,11,5B,0,B,L
38,11,5B,0,B,L
38,11,5B,0,B,L
38,11,5B,0,B,L
38,11,5B,0,B,L
40,1,5B,0,B,L
45,11,5B,0,B,L
45,11,5B,0,B,L
45,11,5B,0,B,L
45,11,5B,0,B,L
45,11,5B,0,B,L
45,11,5B,0,B,L
45,11,5B,0,B,L
45,11,5B,0,B,L
45,11,5B,0,B,L
45,11,5B,0,B,L
45,11,5B,0,B,L
47,2,5B,0,B,L
47,2,5B,0,B,L
52,3,5B,0,B,L
52,3,5B,0,B,L
52,3,5B,0,B,L
56,1,5B,0,B,L
59,1,5B,0,B,L
61,1,5B,0,B,L
63,1,5B,0,B,L
70,1,5B,0,B,L
73,1,5B,0,B,L
75,1,5B,0,B,L
80,1,5B,0,B,L
7,1,5B,0,B,L
17,1,5B,0,B,L
19,1,5B,0,B,L
24,1,5B,0,B,L
40,1,5B,0,B,L
3,2,8B,0,B,L
3,2,8B,0,B,L
5,1,8B,0,B,L
12,2,8B,0,B,L
12,2,8B,0,B,L
14,2,8B,0,B,L
14,2,8B,0,B,L
17,4,8B,0,B,L
17,4,8B,0,B,L
17,4,8B,0,B,L
17,4,8B,0,B,L
19,4,8B,0,B,L
19,4,8B,0,B,L
19,4,8B,0,B,L
19,4,8B,0,B,L
21,3,8B,0,B,L
21,3,8B,0,B,L
21,3,8B,0,B,L
24,7,8B,0,B,L
24,7,8B,0,B,L
24,7,8B,0,B,L
24,7,8B,0,B,L
24,7,8B,0,B,L
24,7,8B,0,B,L
24,7,8B,0,B,L
26,2,8B,0,B,L
26,2,8B,0,B,L
28,4,8B,0,B,L
28,4,8B,0,B,L
28,4,8B,0,B,L
28,4,8B,0,B,L
31,3,8B,0,B,L
31,3,8B,0,B,L
31,3,8B,0,B,L
33,6,8B,0,B,L
33,6,8B,0,B,L
33,6,8B,0,B,L
33,6,8B,0,B,L
33,6,8B,0,B,L
33,6,8B,0,B,L
35,3,8B,0,B,L
35,3,8B,0,B,L
35,3,8B,0,B,L
38,1,8B,0,B,L
40,3,8B,0,B,L
40,3,8B,0,B,L
40,3,8B,0,B,L
45,5,8B,0,B,L
45,5,8B,0,B,L
45,5,8B,0,B,L
45,5,8B,0,B,L
45,5,8B,0,B,L
47,2,8B,0,B,L
47,2,8B,0,B,L
49,3,8B,0,B,L
49,3,8B,0,B,L
49,3,8B,0,B,L
52,5,8B,0,B,L
52,5,8B,0,B,L
52,5,8B,0,B,L
52,5,8B,0,B,L
52,5,8B,0,B,L
54,1,8B,0,B,L
59,2,8B,0,B,L
59,2,8B,0,B,L
66,3,8B,0,B,L
66,3,8B,0,B,L
66,3,8B,0,B,L
70,4,8B,0,B,L
70,4,8B,0,B,L
70,4,8B,0,B,L
70,4,8B,0,B,L
73,1,8B,0,B,L
75,1,8B,0,B,L
77,1,8B,0,B,L
80,3,8B,0,B,L
80,3,8B,0,B,L
80,3,8B,0,B,L
7,2,8B,0,B,L
7,2,8B,0,B,L
12,1,8B,0,B,L
24,1,8B,0,B,L
26,2,8B,0,B,L
26,2,8B,0,B,L
35,1,8B,0,B,L
40,1,8B,0,B,L
3,4,16B,0,B,L
3,4,16B,0,B,L
3,4,16B,0,B,L
3,4,16B,0,B,L
5,1,16B,0,B,L
10,1,16B,0,B,L
12,1,16B,0,B,L
17,1,16B,0,B,L
19,1,16B,0,B,L
24,3,16B,0,B,L
24,3,16B,0,B,L
24,3,16B,0,B,L
26,1,16B,0,B,L
28,1,16B,0,B,L
31,7,16B,0,B,L
31,7,16B,0,B,L
31,7,16B,0,B,L
31,7,16B,0,B,L
31,7,16B,0,B,L
31,7,16B,0,B,L
31,7,16B,0,B,L
33,12,16B,0,B,L
33,12,16B,0,B,L
33,12,16B,0,B,L
33,12,16B,0,B,L
33,12,16B,0,B,L
33,12,16B,0,B,L
33,12,16B,0,B,L
33,12,16B,0,B,L
33,12,16B,0,B,L
