day	event	condition	censor
3	5	S3Bfemale	0
3	5	S3Bfemale	0
3	5	S3Bfemale	0
3	5	S3Bfemale	0
3	5	S3Bfemale	0
10	3	S3Bfemale	0
10	3	S3Bfemale	0
10	3	S3Bfemale	0
12	1	S3Bfemale	0
14	1	S3Bfemale	0
17	3	S3Bfemale	0
17	3	S3Bfemale	0
17	3	S3Bfemale	0
19	3	S3Bfemale	0
19	3	S3Bfemale	0
19	3	S3Bfemale	0
21	3	S3Bfemale	0
21	3	S3Bfemale	0
21	3	S3Bfemale	0
24	7	S3Bfemale	0
24	7	S3Bfemale	0
24	7	S3Bfemale	0
24	7	S3Bfemale	0
24	7	S3Bfemale	0
24	7	S3Bfemale	0
24	7	S3Bfemale	0
26	4	S3Bfemale	0
26	4	S3Bfemale	0
26	4	S3Bfemale	0
26	4	S3Bfemale	0
28	8	S3Bfemale	0
28	8	S3Bfemale	0
28	8	S3Bfemale	0
28	8	S3Bfemale	0
28	8	S3Bfemale	0
28	8	S3Bfemale	0
28	8	S3Bfemale	0
28	8	S3Bfemale	0
31	11	S3Bfemale	0
31	11	S3Bfemale	0
31	11	S3Bfemale	0
31	11	S3Bfemale	0
31	11	S3Bfemale	0
31	11	S3Bfemale	0
31	11	S3Bfemale	0
31	11	S3Bfemale	0
31	11	S3Bfemale	0
31	11	S3Bfemale	0
31	11	S3Bfemale	0
33	7	S3Bfemale	0
33	7	S3Bfemale	0
33	7	S3Bfemale	0
33	7	S3Bfemale	0
33	7	S3Bfemale	0
33	7	S3Bfemale	0
33	7	S3Bfemale	0
35	4	S3Bfemale	0
35	4	S3Bfemale	0
35	4	S3Bfemale	0
35	4	S3Bfemale	0
38	9	S3Bfemale	0
38	9	S3Bfemale	0
38	9	S3Bfemale	0
38	9	S3Bfemale	0
38	9	S3Bfemale	0
38	9	S3Bfemale	0
38	9	S3Bfemale	0
38	9	S3Bfemale	0
38	9	S3Bfemale	0
40	2	S3Bfemale	0
40	2	S3Bfemale	0
45	4	S3Bfemale	0
45	4	S3Bfemale	0
45	4	S3Bfemale	0
45	4	S3Bfemale	0
47	1	S3Bfemale	0
54	1	S3Bfemale	0
56	1	S3Bfemale	0
59	3	S3Bfemale	0
59	3	S3Bfemale	0
59	3	S3Bfemale	0
61	1	S3Bfemale	0
5	1	S3Bfemale	0
19	2	S3Bfemale	0
19	2	S3Bfemale	0
24	2	S3Bfemale	0
24	2	S3Bfemale	0
33	1	S3Bfemale	0
5	1	S3Dfemale	0
5	1	S3Dfemale	0
12	3	S3Dfemale	0
12	3	S3Dfemale	0
12	3	S3Dfemale	0
14	1	S3Dfemale	0
21	1	S3Dfemale	0
24	1	S3Dfemale	0
31	3	S3Dfemale	0
31	3	S3Dfemale	0
31	3	S3Dfemale	0
33	2	S3Dfemale	0
33	2	S3Dfemale	0
35	1	S3Dfemale	0
38	2	S3Dfemale	0
38	2	S3Dfemale	0
40	2	S3Dfemale	0
40	2	S3Dfemale	0
45	6	S3Dfemale	0
45	6	S3Dfemale	0
45	6	S3Dfemale	0
45	6	S3Dfemale	0
45	6	S3Dfemale	0
45	6	S3Dfemale	0
47	4	S3Dfemale	0
