day	event	condition	censor
7	2	L1B	1
10	1	L1B	1
14	1	L1B	1
17	1	L1B	1
19	2	L1B	1
21	1	L1B	1
24	1	L1B	1
26	2	L1B	1
28	2	L1B	1
31	2	L1B	1
33	2	L1B	1
35	1	L1B	1
38	2	L1B	1
45	2	L1B	1
49	1	L1B	1
52	4	L1B	1
54	1	L1B	1
56	1	L1B	1
59	2	L1B	1
61	2	L1B	1
66	3	L1B	1
68	4	L1B	1
70	2	L1B	1
73	6	L1B	1
75	3	L1B	1
77	1	L1B	1
80	2	L1B	1
5	2	L1B	1
7	3	L1B	1
10	1	L1B	1
12	1	L1B	1
14	1	L1B	1
19	2	L1B	1
26	2	L1B	1
28	1	L1B	1
3	5	L2B	1
5	1	L2B	1
7	1	L2B	1
10	3	L2B	1
12	1	L2B	1
14	1	L2B	1
21	2	L2B	1
26	3	L2B	1
28	1	L2B	1
31	7	L2B	1
33	2	L2B	1
35	6	L2B	1
38	3	L2B	1
40	3	L2B	1
45	9	L2B	1
49	3	L2B	1
52	2	L2B	1
54	3	L2B	1
56	1	L2B	1
59	3	L2B	1
61	2	L2B	1
63	3	L2B	1
66	1	L2B	1
73	4	L2B	1
75	1	L2B	1
80	1	L2B	1
5	8	L2B	1
7	2	L2B	1
10	1	L2B	1
12	1	L2B	1
14	1	L2B	1
24	1	L2B	1
26	1	L2B	1
38	1	L2B	1
3	3	L3B	1
10	3	L3B	1
17	1	L3B	1
21	1	L3B	1
24	2	L3B	1
31	1	L3B	1
33	1	L3B	1
35	2	L3B	1
38	4	L3B	1
45	3	L3B	1
52	2	L3B	1
54	2	L3B	1
56	1	L3B	1
59	2	L3B	1
61	2	L3B	1
63	1	L3B	1
66	7	L3B	1
68	1	L3B	1
70	3	L3B	1
73	16	L3B	1
75	1	L3B	1
77	3	L3B	1
80	5	L3B	1
82	2	L3B	1
84	1	L3B	1
5	1	L3B	1
7	4	L3B	1
12	2	L3B	1
14	1	L3B	1
17	2	L3B	1
19	1	L3B	1
21	2	L3B	1
26	1	L3B	1
28	3	L3B	1
33	1	L3B	1
35	1	L3B	1
40	1	L3B	1
3	2	S1B	1
5	1	S1B	1
7	3	S1B	1
10	1	S1B	1
19	1	S1B	1
24	2	S1B	1
28	1	S1B	1
31	1	S1B	1
33	3	S1B	1
35	3	S1B	1
38	4	S1B	1
40	1	S1B	1
45	3	S1B	1
49	2	S1B	1
52	4	S1B	1
54	2	S1B	1
56	1	S1B	1
59	2	S1B	1
61	2	S1B	1
63	1	S1B	1
66	8	S1B	1
68	5	S1B	1
70	4	S1B	1
73	5	S1B	1
75	1	S1B	1
77	1	S1B	1
80	1	S1B	1
82	2	S1B	1
87	1	S1B	1
5	5	S1B	1
7	2	S1B	1
26	2	S1B	1
33	2	S1B	1
38	2	S1B	1
3	2	S2B	1
7	1	S2B	1
10	2	S2B	1
12	2	S2B	1
14	2	S2B	1
17	3	S2B	1
19	1	S2B	1
21	2	S2B	1
26	3	S2B	1
28	1	S2B	1
31	3	S2B	1
33	2	S2B	1
35	1	S2B	1
40	2	S2B	1
45	7	S2B	1
47	2	S2B	1
52	3	S2B	1
54	1	S2B	1
56	3	S2B	1
59	3	S2B	1
61	3	S2B	1
63	6	S2B	1
66	4	S2B	1
70	2	S2B	1
73	6	S2B	1
75	2	S2B	1
77	1	S2B	1
82	1	S2B	1
87	3	S2B	1
5	1	S2B	1
10	3	S2B	1
12	3	S2B	1
14	1	S2B	1
19	2	S2B	1
24	1	S2B	1
26	1	S2B	1
38	1	S2B	1
40	1	S2B	1
3	1	L1D	1
7	4	L1D	1
10	2	L1D	1
17	1	L1D	1
19	1	L1D	1
21	2	L1D	1
24	2	L1D	1
28	1	L1D	1
31	2	L1D	1
33	3	L1D	1
35	4	L1D	1
38	2	L1D	1
40	2	L1D	1
45	4	L1D	1
47	4	L1D	1
49	3	L1D	1
52	8	L1D	1
54	5	L1D	1
59	8	L1D	1
61	2	L1D	1
63	4	L1D	1
66	4	L1D	1
68	1	L1D	1
73	2	L1D	1
77	1	L1D	1
80	2	L1D	1
84	1	L1D	1
5	3	L1D	1
7	2	L1D	1
14	1	L1D	1
19	1	L1D	1
26	1	L1D	1
31	1	L1D	1
10	1	L2D	1
12	2	L2D	1
14	2	L2D	1
17	3	L2D	1
24	1	L2D	1
26	1	L2D	1
28	1	L2D	1
31	1	L2D	1
38	3	L2D	1
45	2	L2D	1
47	1	L2D	1
49	1	L2D	1
52	3	L2D	1
54	3	L2D	1
59	2	L2D	1
61	2	L2D	1
66	5	L2D	1
68	1	L2D	1
70	1	L2D	1
73	1	L2D	1
75	3	L2D	1
80	1	L2D	1
82	1	L2D	1
84	1	L2D	1
7	4	L2D	1
17	1	L2D	1
19	1	L2D	1
21	2	L2D	1
26	1	L2D	1
28	1	L2D	1
33	2	L2D	1
38	1	L2D	1
40	1	L2D	1
3	1	L3D	1
5	1	L3D	1
7	1	L3D	1
10	2	L3D	1
