line,block,chro,eggs,eggsSE,eggsmin,eggsmax,comp,compSE,compmin,compmax,allele
L1,1,B,19.996324,2.075224,17.9211,22.071548,0.5217391,0.10649955,0.41523955,0.62823865,L
L1,2,B,14.470568,1.874117,12.596451,16.344685,0.4565217,0.07425327,0.38226843,0.53077497,L
L1,3,B,24.212437,2.118619,22.093818,26.331056,0.3684211,0.07930219,0.28911891,0.44772329,L
L2,1,B,19.224152,1.69474,17.529412,20.918892,0.625,0.10094661,0.52405339,0.72594661,L
L2,2,B,16.477011,2.249282,14.227729,18.726293,0.6666667,0.07106691,0.59559979,0.73773361,L
L2,3,B,37.570299,2.01752,35.552779,39.587819,0.3939394,0.08637693,0.30756247,0.48031633,L
L3,1,B,12.454541,1.358285,11.096256,13.812826,0.4090909,0.10729034,0.30180056,0.51638124,L
L3,2,B,14.589597,1.937016,12.652581,16.526613,0.5057805,0.07713081,0.42864969,0.58291131,L
L3,3,B,29.411683,1.811308,27.600375,31.222991,0.2972973,0.07617808,0.22111922,0.37347538,L
S1,1,B,18.030092,1.995349,16.034743,20.025441,0.4285714,0.11065667,0.31791473,0.53922807,S
S1,2,B,19.667129,3.931437,15.735692,23.598566,0.4042553,0.07235675,0.33189855,0.47661205,S
S1,3,B,29.441876,2.562952,26.878924,32.004828,0.1052632,0.05045277,0.05481043,0.15571597,S
S2,1,B,21.92358,1.658095,20.265485,23.581675,0.7,0.15275252,0.54724748,0.85275252,S
S2,2,B,19.866624,2.409618,17.457006,22.276242,0.7857143,0.06408214,0.72163216,0.84979644,S
S2,3,B,25.663432,2.068492,23.59494,27.731924,0.5526316,0.08174283,0.47088877,0.63437443,S
S3,1,B,21.349769,2.884852,18.464917,24.234621,1,0,1,1,S
S3,2,B,9.172309,1.72862,7.443689,10.900929,0.509902,0.10198039,0.40792161,0.61188239,S
S3,3,B,45.296453,3.012764,42.283689,48.309217,0.1923077,0.0788227,0.113485,0.2711304,S
L1,1,D,17.355415,2.241945,15.11347,19.59736,0.4117647,0.12303824,0.28872646,0.53480294,L
L1,2,D,25.307918,2.460952,22.846966,27.76887,0.1,0.04803845,0.05196155,0.14803845,L
L1,3,D,8.427992,1.886583,6.541409,10.314575,0.175,0.06084343,0.11415657,0.23584343,L
L2,1,D,21.881,1.39896,20.48204,23.27996,0.6111111,0.11823564,0.49287546,0.72934674,L
L2,2,D,31.169844,2.615357,28.554487,33.785201,0.4166667,0.07191241,0.34475429,0.48857911,L
L2,3,D,26.398869,1.948839,24.45003,28.347708,0.3636364,0.08503767,0.27859873,0.44867407,L
L3,1,D,13.758369,1.33521,12.423159,15.093579,0.3529412,0.11947115,0.23347005,0.47241235,L
L3,2,D,20.605954,2.249653,18.356301,22.855607,0.2380952,0.06651717,0.17157803,0.30461237,L
L3,3,D,22.249916,2.081978,20.167938,24.331894,0.28125,0.0807522,0.2004978,0.3620022,L
S1,1,D,22.220763,3.762179,18.458584,25.982942,0.6666667,0.11433239,0.55233431,0.78099909,S
S1,2,D,19.569203,3.101752,16.467451,22.670955,0.3695652,0.07195473,0.29761047,0.44151993,S
S1,3,D,33.611717,3.502023,30.109694,37.11374,0.2,0.06859943,0.13140057,0.26859943,S
S2,1,D,19.109425,1.882212,17.227213,20.991637,0.7142857,0.10101525,0.61327045,0.81530095,S
S2,2,D,17.350455,1.894927,15.455528,19.245382,0.6111111,0.08240221,0.52870889,0.69351331,S
S2,3,D,39.358128,4.141134,35.216994,43.499262,0.275,0.07149951,0.20350049,0.34649951,S
S3,1,D,20.340601,2.888866,17.451735,23.229467,0.3333333,0.10540926,0.22792404,0.43874256,S
S3,2,D,19.00961,2.386631,16.622979,21.396241,0.375,0.07752171,0.29747829,0.45252171,S
S3,3,D,34.908911,2.891969,32.016942,37.80088,0.3684211,0.07930219,0.28911891,0.44772329,S
