Line,Vial,eggsin,male1 ,female1,male2,female2,male3,female3,male4,female4,male5,female5,Total,propsurv,males,females,propmale,propfemale,propexpsurvmale,propexpsurvfem,allele
5,1,50,10,18,0,1,0,0,0,0,0,0,29,0.58,10,19,0.344827586,0.655172414,0.4,0.76,L
5,2,50,7,14,2,1,1,0,1,0,0,0,26,0.52,11,15,0.423076923,0.576923077,0.44,0.6,L
5,3,50,5,7,9,7,2,0,1,0,0,0,31,0.62,17,14,0.548387097,0.451612903,0.68,0.56,L
5,4,50,5,9,8,6,1,0,0,0,0,0,29,0.58,14,15,0.482758621,0.517241379,0.56,0.6,L
5,5,50,4,2,6,7,0,1,1,1,0,1,23,0.46,11,12,0.47826087,0.52173913,0.44,0.48,L
5,6,50,2,3,9,8,0,0,2,1,0,0,25,0.5,13,12,0.52,0.48,0.52,0.48,L
5,7,50,4,6,14,5,0,0,0,0,0,0,29,0.58,18,11,0.620689655,0.379310345,0.72,0.44,L
5,8,50,6,4,9,9,2,0,0,0,0,0,30,0.6,17,13,0.566666667,0.433333333,0.68,0.52,L
5,9,50,12,10,3,2,1,0,0,0,0,0,28,0.56,16,12,0.571428571,0.428571429,0.64,0.48,L
5,10,50,8,5,1,7,0,0,0,0,0,0,21,0.42,9,12,0.428571429,0.571428571,0.36,0.48,L
5,11,50,7,9,2,7,0,0,0,0,0,0,25,0.5,9,16,0.36,0.64,0.36,0.64,L
5,12,50,4,5,9,8,0,1,0,0,0,0,27,0.54,13,14,0.481481481,0.518518519,0.52,0.56,L
5,13,50,2,4,9,9,3,1,0,0,0,0,28,0.56,14,14,0.5,0.5,0.56,0.56,L
5,14,50,0,0,3,8,9,10,4,0,0,0,34,0.68,16,18,0.470588235,0.529411765,0.64,0.72,L
5,15,50,6,8,8,15,0,0,0,0,0,0,37,0.74,14,23,0.378378378,0.621621622,0.56,0.92,L
5,16,50,4,11,8,8,0,2,1,0,1,0,35,0.7,14,21,0.4,0.6,0.56,0.84,L
5,17,50,6,18,12,3,0,0,1,0,0,0,40,0.8,19,21,0.475,0.525,0.76,0.84,L
5,18,50,2,15,8,8,2,0,0,0,0,0,35,0.7,12,23,0.342857143,0.657142857,0.48,0.92,L
8,1,50,10,14,4,9,0,0,3,0,0,0,40,0.8,17,23,0.425,0.575,0.68,0.92,L
8,2,50,11,14,2,10,1,0,0,0,0,0,38,0.76,14,24,0.368421053,0.631578947,0.56,0.96,L
8,3,50,18,12,5,0,0,0,0,0,0,0,35,0.7,23,12,0.657142857,0.342857143,0.92,0.48,L
8,4,50,3,6,14,9,4,2,0,0,0,0,38,0.76,21,17,0.552631579,0.447368421,0.84,0.68,L
8,5,50,11,16,7,1,1,2,0,1,0,0,39,0.78,19,20,0.487179487,0.512820513,0.76,0.8,L
8,6,50,15,15,7,0,2,0,1,1,0,0,41,0.82,25,16,0.609756098,0.390243902,1,0.64,L
8,7,50,9,7,14,5,1,0,0,0,0,0,36,0.72,24,12,0.666666667,0.333333333,0.96,0.48,L
8,8,50,19,12,2,0,0,0,1,3,0,0,37,0.74,22,15,0.594594595,0.405405405,0.88,0.6,L
8,9,50,1,7,7,10,2,2,0,1,0,0,30,0.6,10,20,0.333333333,0.666666667,0.4,0.8,L
8,10,50,13,15,4,2,1,1,2,2,0,0,40,0.8,20,20,0.5,0.5,0.8,0.8,L
8,11,50,11,19,1,3,0,2,0,0,0,0,36,0.72,12,24,0.333333333,0.666666667,0.48,0.96,L
8,12,50,9,13,10,3,1,2,1,0,0,0,39,0.78,21,18,0.538461538,0.461538462,0.84,0.72,L
8,13,50,13,14,6,4,3,1,0,2,0,0,43,0.86,22,21,0.511627907,0.488372093,0.88,0.84,L
8,14,50,18,11,4,3,2,0,0,2,0,0,40,0.8,24,16,0.6,0.4,0.96,0.64,L
8,15,50,9,20,5,1,0,0,1,1,0,0,37,0.74,15,22,0.405405405,0.594594595,0.6,0.88,L
