Line,chro,vial,eggsin,Day9_M,Day9_F,Day10_M,Day10_F,Day11_M,Day11_F,Day12_M,Day12_F,Day13_M,Day13_F,total,males,females,propsurv,propmale,propfem,propexpmale,propexpfem,allele
L1,B,1,25,0,0,5,4,0,0,0,0,0,0,9,5,4,0.36,0.555555556,0.444444444,0.4,0.32,L
L1,B,2,25,0,0,6,3,0,0,0,0,0,0,9,6,3,0.36,0.666666667,0.333333333,0.48,0.24,L
L1,B,3,25,0,0,6,7,0,0,0,0,0,0,13,6,7,0.52,0.461538462,0.538461538,0.48,0.56,L
L1,B,4,25,0,0,3,6,0,0,0,0,0,0,9,3,6,0.36,0.333333333,0.666666667,0.24,0.48,L
L1,B,5,25,0,0,3,4,0,0,0,0,0,0,7,3,4,0.28,0.428571429,0.571428571,0.24,0.32,L
L1,B,6,25,0,0,3,4,1,1,0,0,0,0,9,4,5,0.36,0.444444444,0.555555556,0.32,0.4,L
L1,B,7,25,0,0,4,6,1,0,0,0,0,0,11,5,6,0.44,0.454545455,0.545454545,0.4,0.48,L
L1,B,8,25,0,0,3,5,1,1,0,0,0,0,10,4,6,0.4,0.4,0.6,0.32,0.48,L
L1,B,9,25,0,0,5,6,0,0,0,0,0,0,11,5,6,0.44,0.454545455,0.545454545,0.4,0.48,L
L1,B,10,25,0,0,1,8,4,4,0,0,0,0,17,5,12,0.68,0.294117647,0.705882353,0.4,0.96,L
L1,B,11,25,0,0,3,4,6,2,0,0,0,0,15,9,6,0.6,0.6,0.4,0.72,0.48,L
L1,B,12,25,0,0,1,1,2,2,1,0,0,0,7,4,3,0.28,0.571428571,0.428571429,0.32,0.24,L
L1,B,13,25,0,0,0,1,2,0,0,0,0,0,3,2,1,0.12,0.666666667,0.333333333,0.16,0.08,L
L2,B,1,25,0,0,3,3,0,0,0,0,1,0,7,4,3,0.28,0.571428571,0.428571429,0.32,0.24,L
L2,B,2,25,0,4,5,5,0,0,0,0,0,0,14,5,9,0.56,0.357142857,0.642857143,0.4,0.72,L
L2,B,3,25,0,0,2,5,0,0,0,2,0,0,9,2,7,0.36,0.222222222,0.777777778,0.16,0.56,L
L2,B,4,25,2,5,5,4,0,0,0,0,0,0,16,7,9,0.64,0.4375,0.5625,0.56,0.72,L
L2,B,5,25,2,1,7,7,0,0,0,0,0,0,17,9,8,0.68,0.529411765,0.470588235,0.72,0.64,L
L2,B,6,25,0,0,9,8,0,0,0,0,1,0,18,10,8,0.72,0.555555556,0.444444444,0.8,0.64,L
L2,B,7,25,0,2,2,0,0,0,0,0,0,0,4,2,2,0.16,0.5,0.5,0.16,0.16,L
L2,B,8,25,0,1,5,2,0,0,0,0,0,0,8,5,3,0.32,0.625,0.375,0.4,0.24,L
