line,allele,chro,males_eclo_50,females_eclo_50,total_eclo_50
L2,L,B,9.5,-5.03518E+15,7
S2,S,B,7.833333333,-5.03518E+15,4.5
S3,S,D,9.285714286,-5.03518E+15,7.857142857
S2,S,D,9.5,-0.5,7
S2,S,D,9.5,5.75,8
S3,S,B,9.888888889,6.166666667,8.4
L2,L,B,8.5,6.375,7.555555556
L2,L,B,9.733333333,7,9.157894737
L2,L,B,9.5,7,8.944444444
L2,L,D,9.888888889,7,9
S1,S,B,9.5,7,8.875
L2,L,B,9.5,7.5,8.5
L2,L,B,9.5,8.25,9.142857143
L2,L,B,9.5,8.25,9.222222222
S1,S,D,9.5,8.25,9
L2,L,D,9.333333333,8.5,8.894736842
S3,S,B,9.5,8.666666667,9
S3,S,D,9.5,8.666666667,9.083333333
L2,L,D,9.5,8.875,9.166666667
S3,S,B,9.5,8.875,9.25
L2,L,B,8.785714286,9.142857143,8.964285714
L2,L,D,9.5,9.142857143,9.291666667
S2,S,D,9.866666667,9.142857143,9.517241379
L2,L,D,9.5,9.2,9.333333333
L3,L,B,9.888888889,9.384615385,9.590909091
L1,L,B,9.5,9.5,9.5
L1,L,B,10.66666667,9.5,10.375
L1,L,B,9.5,9.5,9.5
L1,L,B,9.5,9.5,9.5
L1,L,B,9.5,9.5,9.5
L1,L,B,9.5,9.5,9.5
L1,L,B,9.818181818,9.5,9.652173913
L1,L,B,9.5,9.5,9.5
L1,L,D,9.5,9.5,9.5
L1,L,D,10.08333333,9.5,9.75
L1,L,D,10.5,9.5,10.125
L1,L,D,9.5,9.5,9.5
L2,L,B,10.25,9.5,9.928571429
L2,L,B,9.5,9.5,9.5
L2,L,B,9.5,9.5,9.5
L2,L,B,9.5,9.5,9.5
L2,L,B,9.5,9.5,9.5
L2,L,B,10,9.5,9.684210526
L2,L,B,9.8,9.5,9.666666667
L2,L,D,9.5,9.5,9.5
L2,L,D,9.5,9.5,9.5
L2,L,D,9.5,9.5,9.5
L2,L,D,9.5,9.5,9.5
L2,L,D,8.875,9.5,9.25
L2,L,D,9.5,9.5,9.5
L3,L,B,9.5,9.5,9.5
L3,L,B,9.5,9.5,9.5
L3,L,B,9.5,9.5,9.5
L3,L,B,9.5,9.5,9.5
L3,L,B,9.5,9.5,9.5
L3,L,B,9.5,9.5,9.5
L3,L,D,10,9.5,9.714285714
L3,L,D,10.05263158,9.5,9.838709677
L3,L,D,10.05882353,9.5,9.851851852
L3,L,D,10.36363636,9.5,10.10638298
S1,S,B,10,9.5,9.72
S1,S,B,10.08333333,9.5,10
S1,S,B,9.769230769,9.5,9.684210526
S1,S,B,9.5,9.5,9.5
S1,S,B,9.5,9.5,9.5
S1,S,B,9.5,9.5,9.5
S1,S,B,9.5,9.5,9.5
S1,S,B,9.5,9.5,9.5
S1,S,B,10.2,9.5,10
S1,S,D,9.769230769,9.5,9.684210526
S1,S,D,9.733333333,9.5,9.666666667
S1,S,D,10.375,9.5,9.9375
S2,S,B,9.5,9.5,9.5
S2,S,B,9.411764706,9.5,9.44
S2,S,B,10.2,9.5,9.818181818
S2,S,B,10,9.5,9.888888889
S2,S,D,10.52941176,9.5,10.14814815
