Line,Allele,chro,replicate,day,Males,Females,total
L1,L,B,L1.B.1,9,0,0,0
L1,L,B,L1.B.1,10,5,4,9
L1,L,B,L1.B.1,11,0,0,0
L1,L,B,L1.B.1,12,0,0,0
L1,L,B,L1.B.1,13,0,0,0
L1,L,B,L1.B.2,9,0,0,0
L1,L,B,L1.B.2,10,6,3,9
L1,L,B,L1.B.2,11,0,0,0
L1,L,B,L1.B.2,12,0,0,0
L1,L,B,L1.B.2,13,0,0,0
L1,L,B,L1.B.3,9,0,0,0
L1,L,B,L1.B.3,10,6,7,13
L1,L,B,L1.B.3,11,0,0,0
L1,L,B,L1.B.3,12,0,0,0
L1,L,B,L1.B.3,13,0,0,0
L1,L,B,L1.B.4,9,0,0,0
L1,L,B,L1.B.4,10,3,6,9
L1,L,B,L1.B.4,11,0,0,0
L1,L,B,L1.B.4,12,0,0,0
L1,L,B,L1.B.4,13,0,0,0
L1,L,B,L1.B.5,9,0,0,0
L1,L,B,L1.B.5,10,3,4,7
L1,L,B,L1.B.5,11,0,0,0
L1,L,B,L1.B.5,12,0,0,0
L1,L,B,L1.B.5,13,0,0,0
L1,L,B,L1.B.6,9,0,0,0
L1,L,B,L1.B.6,10,3,4,7
L1,L,B,L1.B.6,11,1,1,2
L1,L,B,L1.B.6,12,0,0,0
L1,L,B,L1.B.6,13,0,0,0
L1,L,B,L1.B.7,9,0,0,0
L1,L,B,L1.B.7,10,4,6,10
L1,L,B,L1.B.7,11,1,0,1
L1,L,B,L1.B.7,12,0,0,0
L1,L,B,L1.B.7,13,0,0,0
L1,L,B,L1.B.8,9,0,0,0
L1,L,B,L1.B.8,10,3,5,8
L1,L,B,L1.B.8,11,1,1,2
L1,L,B,L1.B.8,12,0,0,0
L1,L,B,L1.B.8,13,0,0,0
L1,L,B,L1.B.9,9,0,0,0
L1,L,B,L1.B.9,10,5,6,11
L1,L,B,L1.B.9,11,0,0,0
L1,L,B,L1.B.9,12,0,0,0
L1,L,B,L1.B.9,13,0,0,0
L1,L,B,L1.B.10,9,0,0,0
L1,L,B,L1.B.10,10,1,8,9
L1,L,B,L1.B.10,11,4,4,8
L1,L,B,L1.B.10,12,0,0,0
L1,L,B,L1.B.10,13,0,0,0
L1,L,B,L1.B.11,9,0,0,0
L1,L,B,L1.B.11,10,3,4,7
L1,L,B,L1.B.11,11,6,2,8
