lines,chro,line_chro,vial,sex,eclosion_date,total_from_vial,allele
L1,B,L:B,1,M,10,9,L
L1,B,L:B,1,M,10,9,L
L1,B,L:B,1,M,10,9,L
L1,B,L:B,1,M,10,9,L
L1,B,L:B,1,M,10,9,L
L1,B,L:B,1,F,10,9,L
L1,B,L:B,1,F,10,9,L
L1,B,L:B,1,F,10,9,L
L1,B,L:B,1,F,10,9,L
L1,B,L:B,2,M,10,9,L
L1,B,L:B,2,M,10,9,L
L1,B,L:B,2,M,10,9,L
L1,B,L:B,2,M,10,9,L
L1,B,L:B,2,M,10,9,L
L1,B,L:B,2,M,10,9,L
L1,B,L:B,2,F,10,9,L
L1,B,L:B,2,F,10,9,L
L1,B,L:B,2,F,10,9,L
L1,B,L:B,3,M,10,13,L
L1,B,L:B,3,M,10,13,L
L1,B,L:B,3,M,10,13,L
L1,B,L:B,3,M,10,13,L
L1,B,L:B,3,M,10,13,L
L1,B,L:B,3,M,10,13,L
L1,B,L:B,3,F,10,13,L
L1,B,L:B,3,F,10,13,L
L1,B,L:B,3,F,10,13,L
L1,B,L:B,3,F,10,13,L
L1,B,L:B,3,F,10,13,L
L1,B,L:B,3,F,10,13,L
L1,B,L:B,3,F,10,13,L
L1,B,L:B,4,M,10,9,L
L1,B,L:B,4,M,10,9,L
L1,B,L:B,4,M,10,9,L
L1,B,L:B,4,F,10,9,L
L1,B,L:B,4,F,10,9,L
L1,B,L:B,4,F,10,9,L
L1,B,L:B,4,F,10,9,L
L1,B,L:B,4,F,10,9,L
L1,B,L:B,4,F,10,9,L
L1,B,L:B,5,M,10,7,L
L1,B,L:B,5,M,10,7,L
L1,B,L:B,5,M,10,7,L
L1,B,L:B,5,F,10,7,L
L1,B,L:B,5,F,10,7,L
L1,B,L:B,5,F,10,7,L
L1,B,L:B,5,F,10,7,L
L1,B,L:B,6,M,10,9,L
L1,B,L:B,6,M,10,9,L
L1,B,L:B,6,M,10,9,L
L1,B,L:B,6,F,10,9,L
L1,B,L:B,6,F,10,9,L
L1,B,L:B,6,F,10,9,L
L1,B,L:B,6,F,10,9,L
L1,B,L:B,6,M,11,9,L
L1,B,L:B,6,F,11,9,L
L1,B,L:B,7,M,10,11,L
L1,B,L:B,7,M,10,11,L
L1,B,L:B,7,M,10,11,L
L1,B,L:B,7,M,10,11,L
L1,B,L:B,7,F,10,11,L
L1,B,L:B,7,F,10,11,L
L1,B,L:B,7,F,10,11,L
L1,B,L:B,7,F,10,11,L
L1,B,L:B,7,F,10,11,L
L1,B,L:B,7,F,10,11,L
L1,B,L:B,7,M,11,11,L
