Block,Line,vial,start,males,females,total,propsurv,propmale,propfem,propexpsurvmale,propexpsurvfem,allele
B1,L1,1,50,12,9,21,0.42,0.571428571,0.428571429,0.48,0.36,L
B1,L1,2,50,7,13,20,0.4,0.35,0.65,0.28,0.52,L
B1,L1,3,50,14,17,31,0.62,0.451612903,0.548387097,0.56,0.68,L
B1,L1,4,50,12,19,31,0.62,0.387096774,0.612903226,0.48,0.76,L
B1,L1,5,50,8,5,13,0.26,0.615384615,0.384615385,0.32,0.2,L
B1,L1,6,50,18,16,34,0.68,0.529411765,0.470588235,0.72,0.64,L
B1,L1,7,50,12,11,23,0.46,0.52173913,0.47826087,0.48,0.44,L
B1,L1,8,50,22,14,36,0.72,0.611111111,0.388888889,0.88,0.56,L
B1,L1,9,50,14,16,30,0.6,0.466666667,0.533333333,0.56,0.64,L
B1,L1,10,50,10,12,22,0.44,0.454545455,0.545454545,0.4,0.48,L
B1,L1,11,50,7,15,22,0.44,0.318181818,0.681818182,0.28,0.6,L
B1,L1,12,50,14,14,28,0.56,0.5,0.5,0.56,0.56,L
B1,L1,13,50,12,6,18,0.36,0.666666667,0.333333333,0.48,0.24,L
B1,L1,14,50,9,8,17,0.34,0.529411765,0.470588235,0.36,0.32,L
B1,L1,15,50,8,9,17,0.34,0.470588235,0.529411765,0.32,0.36,L
B1,L1,16,50,15,13,28,0.56,0.535714286,0.464285714,0.6,0.52,L
B1,L1,17,50,12,7,19,0.38,0.631578947,0.368421053,0.48,0.28,L
B1,L1,18,50,9,14,23,0.46,0.391304348,0.608695652,0.36,0.56,L
B1,L1,19,50,20,14,34,0.68,0.588235294,0.411764706,0.8,0.56,L
B1,L1,20,50,9,12,21,0.42,0.428571429,0.571428571,0.36,0.48,L
B1,L2,1,50,8,13,21,0.42,0.380952381,0.619047619,0.32,0.52,L
B1,L2,2,50,4,13,17,0.34,0.235294118,0.764705882,0.16,0.52,L
B1,L2,3,50,13,8,21,0.42,0.619047619,0.380952381,0.52,0.32,L
B1,L2,4,50,9,16,25,0.5,0.36,0.64,0.36,0.64,L
B1,L2,5,50,10,8,18,0.36,0.555555556,0.444444444,0.4,0.32,L
