"","lines","chro","line_chro","sex"
"1","L1","B","L:B","M"
"2","L1","B","L:B","M"
"3","L1","B","L:B","M"
"4","L1","B","L:B","M"
"5","L1","B","L:B","M"
"6","L1","B","L:B","M"
"7","L1","B","L:B","M"
"8","L1","B","L:B","M"
"9","L1","B","L:B","M"
"10","L1","B","L:B","M"
"11","L1","B","L:B","M"
"12","L1","B","L:B","M"
"13","L1","B","L:B","M"
"14","L1","B","L:B","M"
"15","L1","B","L:B","M"
"16","L1","B","L:B","M"
"17","L1","B","L:B","M"
"18","L1","B","L:B","M"
"19","L1","B","L:B","M"
"20","L1","B","L:B","M"
"21","L1","B","L:B","M"
"22","L1","B","L:B","M"
"23","L1","B","L:B","M"
"24","L1","B","L:B","M"
"25","L1","B","L:B","M"
"26","L1","B","L:B","M"
"27","L1","B","L:B","M"
"28","L1","B","L:B","M"
"29","L1","B","L:B","M"
"30","L1","B","L:B","M"
"31","L1","B","L:B","M"
"32","L1","B","L:B","M"
"33","L1","B","L:B","M"
"34","L1","B","L:B","M"
"35","L1","B","L:B","M"
"36","L1","B","L:B","M"
"37","L1","B","L:B","M"
"38","L1","B","L:B","M"
"39","L1","B","L:B","M"
"40","L1","B","L:B","M"
"41","L1","B","L:B","M"
"42","L1","B","L:B","M"
"43","L1","B","L:B","M"
"44","L1","B","L:B","M"
"45","L1","B","L:B","M"
"46","L1","B","L:B","M"
"47","L1","B","L:B","M"
"48","L1","B","L:B","M"
"49","L1","B","L:B","M"
"50","L1","B","L:B","M"
"51","L1","B","L:B","M"
"52","L1","B","L:B","M"
"53","L1","B","L:B","M"
"54","L1","B","L:B","M"
"55","L1","B","L:B","M"
"56","L1","B","L:B","M"
"57","L1","B","L:B","M"
"58","L1","B","L:B","M"
"59","L1","B","L:B","M"
"60","L1","B","L:B","M"
"61","L1","B","L:B","M"
"62","L1","B","L:B","F"
"63","L1","B","L:B","F"
"64","L1","B","L:B","F"
"65","L1","B","L:B","F"
"66","L1","B","L:B","F"
"67","L1","B","L:B","F"
"68","L1","B","L:B","F"
"69","L1","B","L:B","F"
"70","L1","B","L:B","F"
"71","L1","B","L:B","F"
"72","L1","B","L:B","F"
"73","L1","B","L:B","F"
"74","L1","B","L:B","F"
"75","L1","B","L:B","F"
"76","L1","B","L:B","F"
"77","L1","B","L:B","F"
"78","L1","B","L:B","F"
"79","L1","B","L:B","F"
"80","L1","B","L:B","F"
"81","L1","B","L:B","F"
"82","L1","B","L:B","F"
"83","L1","B","L:B","F"
"84","L1","B","L:B","F"
"85","L1","B","L:B","F"
"86","L1","B","L:B","F"
"87","L1","B","L:B","F"
"88","L1","B","L:B","F"
"89","L1","B","L:B","F"
"90","L1","B","L:B","F"
"91","L1","B","L:B","F"
"92","L1","B","L:B","F"
"93","L1","B","L:B","F"
