S_gradiant,Time poimts,coverage
0.051333333,9,50
0.052,9,50
0.046,9,50
0.045,9,50
0.052666667,9,50
0.042333333,9,50
0.061333333,9,50
0.057333333,9,50
0.061,9,50
0.049666667,9,50
0.050666667,9,50
0.050666667,9,50
0.066,9,50
0.048666667,9,50
0.037,9,50
0.045666667,9,50
0.063333333,9,50
0.052666667,9,50
0.055,9,50
0.050666667,9,50
0.034,9,50
0.056333333,9,50
0.054666667,9,50
0.077333333,9,50
0.037666667,9,50
0.053666667,9,50
0.039333333,9,50
0.051,9,50
0.036,9,50
0.053666667,9,50
0.043333333,9,50
0.051666667,9,50
0.051666667,9,50
0.048666667,9,50
0.067333333,9,50
0.053666667,9,50
0.047333333,9,50
0.04,9,50
0.055666667,9,50
0.034666667,9,50
0.037333333,9,50
0.037666667,9,50
0.041333333,9,50
0.050666667,9,50
0.049666667,9,50
0.065666667,9,50
0.059,9,50
0.048666667,9,50
0.033333333,9,50
0.052333333,9,50
0.054333333,9,50
0.050666667,9,50
0.040333333,9,50
0.041666667,9,50
0.047,9,50
0.060666667,9,50
0.050333333,9,50
0.049,9,50
0.06,9,50
0.049666667,9,50
0.051666667,9,50
0.030666667,9,50
0.061,9,50
0.053666667,9,50
0.051,9,50
0.055666667,9,50
0.030333333,9,50
0.041666667,9,50
0.053,9,50
0.062666667,9,50
0.059666667,9,50
0.050333333,9,50
0.055333333,9,50
0.053666667,9,50
0.05,9,50
0.042,9,50
0.057333333,9,50
0.041666667,9,50
0.056,9,50
0.062,9,50
0.060666667,9,50
0.045666667,9,50
0.056333333,9,50
0.051,9,50
0.044666667,9,50
0.055,9,50
0.044666667,9,50
0.057666667,9,50
0.051666667,9,50
0.042333333,9,50
0.052333333,9,50
0.041666667,9,50
0.051333333,9,50
0.038666667,9,50
0.043,9,50
0.05,9,50
0.039666667,9,50
0.056,9,50
0.055333333,9,50
0.029333333,9,50
0.056333333,9,50
0.054333333,9,50
0.062,9,50
0.030333333,9,50
0.053,9,50
0.055,9,50
0.038666667,9,50
0.049666667,9,50
0.046,9,50
0.053333333,9,50
0.052333333,9,50
0.056666667,9,50
0.046,9,50
0.061666667,9,50
0.041666667,9,50
0.04,9,50
0.055333333,9,50
0.050666667,9,50
0.058333333,9,50
0.045,9,50
0.045333333,9,50
0.056666667,9,50
0.058666667,9,50
0.055,9,50
0.058,9,50
0.06,9,50
0.035,9,50
0.058666667,9,50
0.057333333,9,50
0.071,9,50
0.038,9,50
0.059333333,9,50
0.048333333,9,50
0.045,9,50
0.045,9,50
0.053333333,9,50
0.055333333,9,50
0.043666667,9,50
0.042666667,9,50
0.061,9,50
0.046333333,9,50
0.053,9,50
0.056,9,50
0.040666667,9,50
0.042,9,50
0.045333333,9,50
0.035333333,9,50
0.043,9,50
0.058,9,50
0.052,9,50
0.042666667,9,50
0.050666667,9,50
0.064,9,50
0.081,9,50
0.065,9,50
0.061333333,9,50
0.063666667,9,50
0.051,9,50
0.039666667,9,50
0.043333333,9,50
0.034,9,50
0.053333333,9,50
0.054,9,50
0.053333333,9,50
0.044666667,9,50
0.047666667,9,50
0.062333333,9,50
0.030666667,9,50
